CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Auditor;Auditor;CPF_Auditor;CNPJ_Auditor;Codigo_CVM_Auditor;Tipo_Origem_Auditor;Data_Inicio_Contratacao;Data_Fim_Contratacao;Data_Inicio_Prestacao_Servico;Servico_Contratado;Remuneracao_Auditor;Justificativa_Substituicao;Razao_Apresentada
07.594.978/0001-78;2023-12-31;16;138419;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;124529;ERNST & YOUNG AUDITORES INDEPENDENTES S/S Ltda;;61366936000125;004715;Nacional;2022-04-01;;2022-04-01;Os auditores independentes prestaram os seguintes serviços para a Companhia: (i) auditoria das demonstrações financeiras individuais e consolidadas referentes ao exercício social encerrado em 31 de dezembro de 2022, preparadas de acordo com as práticas contábeis adotadas no Brasil e normas internacionais (IFRS) (ii) revisão das informações financeiras intermediárias individuais e consolidadas, preparadas de acordo com o CPC21 e IAS34, referentes aos períodos de três, seis e nove meses findos em 31 de março, 30 de junho e 30 de setembro de 2022 e ao período de três meses findo em 31 de março de 2023 (iii) auditoria das demonstrações financeiras estatutárias de certas subsidiárias da Companhia no Brasil e no exterior referentes ao exercício social encerrado em 31 de dezembro de 2022 (iv) serviços de due diligence contábil e tributária em targets para aquisição e (v) prestação de serviços profissionais em conexão com a oferta pública da Companhia.;Os honorários em valor líquido de impostos incorridos no exercício social de 2022 com os auditores independentes como remuneração relativos aos trabalhos descritos nos itens (i) a (iii) acima foram de R$ 2.611 mil.;N/A;N/A
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;119929;BAKER TILLY 4PARTNERS AUDITORES INDEPENDENTES;;18596945000183;022594;Nacional;2017-07-01;;;(i) Auditar e emitir relatório sobre as demonstrações financeiras para os exercícios a findarem-se em 30 de junho de 2018, 2019 e 2020 para fins de CVM como segue: a) demonstrações financeiras, individuais e consolidadas, preparadas de acordo com as práticas contábeis adotadas no Brasil e b) demonstrações financeiras consolidadas preparadas de acordo com as normas internacionais de relatório financeiro (IFRS) (ii) Revisão e emissão de relatório sobre as informações trimestrais intermediárias de acordo com as normas brasileiras e internacionais de revisão de informações intermediárias para os períodos a findarem-se em: a) 31 de março de 2018, 2019 e 2020 b) 30 de setembro de 2017, 2018 e 2019 e c) 31 de dezembro de 2017, 2018 e 2019.;Honorários de Auditoria: R$ 256,5 mil - são os honorários totais cobrados em 2020 pela Baker Tilly 4partners Auditores Independentes para a auditoria de nossas demonstrações financeiras consolidadas e anuais, incluindo revisões de demonstrações financeiras intermediárias.;N/A;N/A
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;119930;Ernst & Young Terco Auditores Independentes S.S.;;61366936000125;004715;Nacional;2020-07-01;;;(i) Auditoria e emitir relatório sobre as demonstrações financeiras individuais e consolidadas da Companhia para o exercício a findar-se em 30 de junho de 2021 (ii) Revisar e emitir relatório sobre as informações trimestrais intermediárias para o trimestre findo em 30 de setembro de 2020 e a findar-se em 31 de dezembro de 2020 e 31 de março de 2021 (iii)  Leitura e revisão de dados contábeis do formulário 20-F, a ser arquivado pela Companhia na Securities and Exchange Commission ("SEC"), nos Estados Unidos da América, para o exercício a findar-se em 30 de junho de 2021 (iv) Emissão de "interfirm opinion" para o trimestre findo em 30 de setembro de 2020, e para os períodos a findarem-se em 31 de dezembro de 2020 e 31 de março de 2021 e para o exercício a findar-se em 30 de junho de 2021 e auditoria dos controles internos e (v) Revisão da tradução para o inglês (free translation) das informações trimestrais da Companhia para o período findo de 30 de setembro de 2020 e a findar-se de 31 de dezembro de 2020 e 31 de março de 2021, e também, revisão da tradução das demonstrações financeiras em inglês referente ao exercício a findar-se em 30 de junho de 2021.;3.075.000,20;;N/A
07.628.528/0001-59;2023-06-30;15;132717;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;119931;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES;;61562112000120;002879;Nacional;2021-07-01;;;(i) Auditar e emitir relatório sobre as demonstrações financeiras para os exercícios a findarem-se em 30 de junho de 2022 para fins de CVM como segue: a) demonstrações financeiras, individuais e consolidadas, preparadas de acordo com as práticas contábeis adotadas no Brasil e b) demonstrações financeiras consolidadas preparadas de acordo com as normas internacionais de relatório financeiro (IFRS) (ii) Revisão e emissão de relatório sobre as informações trimestrais intermediárias de acordo com as normas brasileiras e internacionais de revisão de informações intermediárias para os períodos a findarem-se em 30 de setembro de 2021 e a findar-se em 31 de dezembro de 2021 e 31 de março de 2022.;NA;NA;NA
07.636.657/0001-99;2023-12-31;4;130244;AÇO VERDE DO BRASIL S.A;118248;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA;;61366936001440;004715;Nacional;2018-08-16;;2018-08-16;(i)Auditoria das demonstrações financeiras da Companhia, relativa aos exercícios sociais findos em 31 de dezembro de 2017, 2018, 2020, 2021 e 2022, preparadas de acordo com as práticas contábeis adotadas no Brasil que compreendem as normas da Comissão de Valores Mobiliários (CVM) e os pronunciamentos do Comitê de Pronunciamentos Contábeis (CPC) e em conformidade com as normas internacionais de relatório financeiro (IFRS) emitidas pelo IASB(ii)Revisão das informações financeiras intermediárias não auditadas preparadas de acordo com as normas brasileiras e internacionais referentes aos trimestres findos em 31 de março, 30 de junho e 30 de setembro de 2019, 2020, 2021 e 2022 preparadas de acordo com NBC TG 21 Demonstração Intermediária e com a norma internacional IAS 34 - Interim Financial Reporting, emitida pelo International Accounting Standards Board - IASB e(iii)Procedimentos pré-acordados em conexão com a listagem Categoria B na CVM. ;São devidos aos auditores os seguintes valores como remuneração pelos serviços descritos acima prestados no exercício social encerrado em 31 de dezembro de 2022:(i)Auditoria das demonstrações financeiras da Companhia relativa ao exercício social findo em 31 de dezembro de 2022 e Revisão das informações financeiras intermediárias não auditadas referentes aos trimestres findos em 31 de março, 30 de junho e 30 de setembro: R$929.575,15 (novecentos e vinte e nove mil, quinhentos e setenta e cinco reais e quinze centavos).;N/A;N/A
07.659.538/0001-51;2023-12-31;3;134603;DINAMICA ENERGIA S.A.;121861;ANEND AUDITORES INDEPENDENTES;;04310873000151;009210;Nacional;2006-09-06;;2006-09-06;Revisão dos ITR's/DFP e Auditoria de Balanço;R$ 7.200,00;TERMINO DE CONTRATO DO AUDITOR ANTERIOR;Não há
07.659.538/0001-51;2023-12-31;3;134603;DINAMICA ENERGIA S.A.;121862;BKR - LOPES, MACHADO AUDITORES;;40262602000131;005363;Nacional;2024-02-28;;2024-02-28;Revisão dos ITR's/DFP e Auditoria de Balanço;R$ 64,800,00;Estrategia interna da empesa e atendimento ao que preconiza a instrução CVM 308/99;Não há
07.659.538/0001-51;2023-12-31;3;134603;DINAMICA ENERGIA S.A.;121863;AUDIPEC AUDITORIA E PERÍCIA CONTÁBIL S/S;;42165506000109;003166;Nacional;2019-01-21;;2019-01-21;Revisão dos ITR's/DFP e Auditoria de Balanço;12 PARCELAS FIXAS DE R$ 2.500,00;FINAL DE CONTRATO DE PRESTADOR ANTERIOR;Não há
07.689.002/0001-89;2023-12-31;9;138085;EMBRAER S.A.;124194;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA;;61562112000120;002879;Nacional;2017-01-03;;2017-01-03;(i) Serviços de auditoria externa, referentes à revisão das ITRs individuais e consolidadas e auditoria das Demonstrações Financeiras. (ii) Serviços relacionados à auditoria, referentes principalmente a serviços de conformidade prestados à Companhia, em razão de documentos protocolados nas agências regulatórias e governamentais e (iii) Honorários tributários, referentes a serviços de conformidade fiscal para algumas das subsidiárias da Embraer.;No exercício social encerrado em 31 de dezembro de 2021, os auditores independentes receberam honorários no total R$ 29.132,55 mil, dos quais R$ 20.154,30 mil referem-se aos serviços de auditoria externa, R$ 8.527,62 mil a serviços relacionados à auditoria, R$ 225.06 mil relativos aos honorários de serviços tributários e R$ 225,57 mil a outros honorários.;Alteração periódica e planejada de auditores independentes.;Não aplicável.
07.689.002/0001-89;2023-12-31;9;138085;EMBRAER S.A.;124195;KPMG AUDITORES INDEPENDENTES LTDA;;57755217000129;004189;Nacional;2022-01-10;;2022-01-10;(i) Serviços de auditoria externa, referentes à revisão das ITRs individuais e consolidadas e auditoria das Demonstrações Financeiras. (ii) Serviços relacionados à auditoria, referentes principalmente a serviços de conformidade prestados à Companhia, em razão de documentos protocolados nas agências regulatórias e governamentais e (iii) Honorários tributários, referentes a serviços de conformidade fiscal para algumas das subsidiárias da Embraer.;No exercício social encerrado em 31 de dezembro de 2022, os auditores independentes receberam honorários no total R$ 26.646,00 mil, dos quais R$ 15.941,00 mil referem-se aos serviços de auditoria externa, R$ 2.344,00 mil a serviços relacionados à auditoria, R$ 535,00 mil relativos aos honorários de serviços tributários e R$ 7.826,00 mil a outros honorários.;Alteração periódica e planejada de auditores independentes.;Não aplicável.
07.704.246/0001-93;2023-12-31;3;137029;DATORA PARTICIPAÇÕES E SERVIÇOS S.A.;123463;KPMG AUDITORES INDEPENDENTES LTDA;;57755217000129;004189;Nacional;2021-06-29;;2021-06-29;Os auditores independentes prestaram os seguintes serviços para a Companhia: (i) auditoria das demonstrações financeiras individuais e consolidadas referentes aos exercícios sociais encerrados em 31 de dezembro de 2020, 2019 e 2018 (ii) auditoria das demonstrações financeiras combinadas da Companhia referentes aos exercícios sociais encerrados em 31 de dezembro de 2020, 2019 e 2018 e (iii) serviço de procedimentos pré-acordados.;O montante total bruto da remuneração paga aos auditores independentes no exercício social encerrado em 31 de dezembro de 2021 foi de R$ 585.000,00 mil.;Não aplicável, tendo em vista que não houve substituição dos auditores independentes.;Não aplicável, tendo em vista que não houve substituição dos auditores independentes.
07.704.246/0001-93;2023-12-31;3;137029;DATORA PARTICIPAÇÕES E SERVIÇOS S.A.;123464;ERNST & YOUNG AUDITORES INDEPENDENTES S/S Ltda;;61366936000125;004715;Nacional;2023-04-20;;2023-04-20;Serviço de auditoria sobre as demonstrações financeiras individuais e consolidadas da Datora Participações e Serviços S.A., para o exercício a findar-se em 31 de dezembro de 2023. Revisão e emissão de relatório sobre as informações financeiras intermediárias não auditadas da Datora Participações e Serviços S.A. com encerramento em 31 de março, 30 de junho e 30 de setembro de 2023.;R$ 495.000,00 (Quatrocentos e noventa e cinco mil reais);A substituição da KPMG Auditores Independentes S.A. foi realizada com o objetivo de fazer um rodízio da empresa responsável pela auditoria externa da Companhia, de acordo com as melhores práticas de governança corporativa.;Não aplicável, tendo em vista que não houve discordância da justificativa do emissor.
07.718.269/0001-57;2023-12-31;9;139822;SPRINGS GLOBAL PARTICIPACOES S.A.;125887;BDO RCS Auditores Independentes - Sociedade Simples Limitada;;54276936000179;010324;Nacional;2019-10-21;;2019-10-21;Serviços profissionais de auditoria das demonstrações contábeis individuais e consolidadas da Companhia elaboradas deacordo com as práticas contábeis adotadas no Brasil e as normas internacionais de relatório financeiro, referentes aos exercícios sociais encerrados em 31 de dezembro de 2018, 2019, 2020, 2021 e 2022.;No exercício social encerrado em 31 de dezembro de 2022, os auditores independentes receberam honorários que totalizaram o valor de R$ 84.000,00 referentes a serviços de auditoria do exercício social de 2022;Término do contrato;Não aplicável
07.802.794/0001-56;2023-12-31;4;134980;ESSENTIA PCHS S.A.;122054;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA;;61562112000120;002879;Nacional;2017-06-23;;2017-06-23;Auditoria das demonstrações financeiras consolidadas referentes ao exercício social encerrado em 31 de dezembro de 2022, preparadas de acordo com as normas internacionais de contabilidade - International Financial Reporting Standards emitidas pelo International Accounting Standards Board, e revisão limitada de março, junho e setembro.;No exercício social encerrado em 31 de dezembro de 2022, os auditores independentes receberam honorários que totalizaram o valor de R$ 838.013 referentes a serviços de auditoria das Demonstrações Financeiras anuais e revisão das informações trimestrais da Companhia.;Substituição para alinhamento do auditor utilizado por outras sociedades do grupo econômico.;Não aplicável.
07.802.794/0001-56;2023-12-31;4;134980;ESSENTIA PCHS S.A.;122055;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA;;49928567000111;003859;Nacional;2023-01-01;;2023-01-01;Auditoria das demonstrações financeiras consolidadas referentes ao exercício social a se encerrar em 31 de dezembro de 2023, preparadas de acordo com as normas internacionais de contabilidade - International Financial Reporting Standards emitidas pelo International Accounting Standards Board, e revisão limitada de março, junho e setembro.;Não aplicável, visto que não foram pagos valores aos auditores no exercício social anterior.;Não aplicável.;Não aplicável.
07.816.890/0001-53;2023-12-31;7;137757;MULTIPLAN - EMPREEND IMOBILIARIOS S.A.;123860;KPMG AUDITORES INDEPENDENTES LTDA;;57755217000129;004189;Nacional;2023-01-01;;2023-01-01;Exercício social findo em 31 de dezembro de 2023: a Companhia contratou os seguintes serviços: auditoria das demonstrações financeiras individuais e consolidadas da Companhia correspondentes ao exercício social findo em 31 de dezembro de 2023, revisão das informações trimestrais - ITRs individuais e consolidados da Companhia relativas aos períodos de três meses findos em 31 de março, 30 de junho e 30 de setembro de 2023.;Não houve remuneração para a KPMG no último exercício social (2022);Não se aplica.;Não se aplica.
07.816.890/0001-53;2023-12-31;7;137757;MULTIPLAN - EMPREEND IMOBILIARIOS S.A.;123861;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA;;61366936000206;004715;Nacional;2018-03-26;;2018-03-26;Exercício social findo em 31 de dezembro de 2020: a Companhia contratou os seguintes serviços: auditoria das demonstrações financeiras individuais e consolidadas da Companhia correspondentes ao exercício social findo em 31 de dezembro de 2020, revisão das informações trimestrais - ITRs individuais e consolidados da Companhia relativas aos períodos de três meses findos em 31 de março, 30 de junho e 30 de setembro de 2020. Exercício social findo em 31 de dezembro de 2021: a Companhia contratou os seguintes serviços: auditoria das demonstrações financeiras individuais e consolidadas da Companhia correspondentes ao exercício social findo em 31 de dezembro de 2021, revisão das informações trimestrais - ITRs individuais e consolidados da Companhia relativas aos períodos de três meses findos em 31 de março, 30 de junho e 30 de setembro de 2021.Exercício social findo em 31 de dezembro de 2022: a Companhia contratou os seguintes serviços: auditoria das demonstrações financeiras individuais e consolidadas da Companhia correspondentes ao exercício social findo em 31 de dezembro de 2022, revisão das informações trimestrais - ITRs individuais e consolidados da Companhia relativas aos períodos de três meses findos em 31 de março, 30 de junho e 30 de setembro de 2022.;No exercício social findo em 31 de dezembro de 2022 foram pagos: (i) R$ 1.244.692,00 aos auditores a título de honorários pelos serviços de auditoria externa das demonstrações financeiras individuais e consolidadas da Companhia correspondentes ao exercício findo em 31 de dezembro de 2022 e revisão das informações trimestrais e ITRs individuais e consolidados da Companhia relativas aos períodos de três meses findos em 31 de março, 30 de junho e 30 de setembro de 2022, (ii) R$ 186.400,00 aos auditores a título de honorários pelos procedimentos específicos de auditoria relacionados as propriedades para investimento em 30 de setembro de 2022 e (iii) R$ 83.604,00 aos auditores a título de honorários de assessoria tributária referente a análises operacionais.;Substituído em razão do rodízio de auditores independentes determinado pelo artigo 31 da Resolução da Comissão de Valores Mobiliários nº 23, de 25 de fevereiro de 2021, conforme alterada.;A substituição foi realizada com a anuência dos auditores independentes.
07.820.907/0001-46;2023-12-31;4;133675;FICA EMPREENDIMENTOS IMOBILIÁRIOS S.A.;121110;Grant Thornton Auditores Independentes Ltda;;10830108000165;011274;Nacional;2018-07-12;;2018-07-12;Exame das demonstrações financeiras individuais (controladora) preparadas de acordo com as práticas contábeis adotadas no Brasil e exame das demonstrações financeiras consolidadas preparadas de acordo com as normas internacionais de relatório financeiro (IFRS), aplicáveis a entidades de incorporação imobiliária no Brasil, como aprovadas pelo Comitê de Pronunciamentos Contábeis (CPC), pela Comissão de Valores Mobiliários (CVM) e pelo Conselho Federal de Contabilidade (CFC).;Os honorários acordados com os auditores independentes da Companhia pelos serviços de auditoria externa das demonstrações financeiras do exercício social encerrado em 31 de dezembro de 2022 totalizaram R$ 128.349,85.;Rodízio obrigatório de acordo com a legislação vigente.;Não aplicável.
07.820.907/0001-46;2023-12-31;4;133675;FICA EMPREENDIMENTOS IMOBILIÁRIOS S.A.;121111;Mazars Auditores Independentes - Sociedade Simples Ltda;;07326840000198;010723;Nacional;2023-04-17;;2023-04-17;Exame das demonstrações financeiras individuais (controladora) preparadas de acordo com as práticas contábeis adotadas no Brasil e exame das demonstrações financeiras consolidadas preparadas de acordo com as normas internacionais de relatório financeiro (IFRS), aplicáveis a entidades de incorporação imobiliária no Brasil, como aprovadas pelo Comitê de Pronunciamentos Contábeis (CPC), pela Comissão de Valores Mobiliários (CVM) e pelo Conselho Federal de Contabilidade (CFC).;A empresa foi contratada para auditoria das demonstrações financeiras referentes ao exercício social de 2023.;Não aplicável.;Não aplicável.
07.823.262/0001-03;2023-12-31;2;134215;FOZ DO RIO CLARO ENERGIA S.A.;121578;ERNST & YOUNG AUDITORES INDEPENDENTES S/S Ltda;;61366936000125;004715;Nacional;2019-01-24;;2019-01-01;Os auditores independentes foram contratados para prestar os seguintes serviços: (i) revisão das informações contábeis intermediárias individuais e consolidadas - ITRs da Companhia para os trimestres findos em 31 de março, 30 de junho e 30 de setembro de 2022 (ii) revisão do Formulário de Referência da Companhia para o exercício encerrado em 31 de dezembro de2022 (iii) emissão de Relatório de Recomendação para melhorias de procedimentos contábeis e controles internos para o exercício de 2022 e (iv) auditoria das demonstrações contábeis da Companhia para o exercício encerrado em 31 de dezembro de 2022, com a emissão de um relatório de auditoria sobre essas demonstrações contábeis.;O montante total bruto da remuneração paga aos auditores independentes no exercício social encerrado em 31 de dezembro de 2022 foi de R$90 mil, integralmente relacionado aos serviços descritos acima.;Não houve substituição dos auditores independentes.;Não houve substituição dos auditores independentes.
07.823.262/0001-03;2023-12-31;2;134215;FOZ DO RIO CLARO ENERGIA S.A.;121579;KPMG AUDITORES INDEPENDENTES LTDA;;57755217000129;004189;Nacional;2024-02-20;;2024-01-01;Os auditores independentes prestarão os seguintes serviços para a Companhia: (i) auditoria das demonstrações financeiras consolidadas referentes aos exercícios sociais a se encerrarem em 31 de dezembro de 2024 e 31 de dezembro de 2025 (ii) revisões das informações contábeis trimestrais (ITRs) para os períodos findos em 31 de março, 30 de junho e 30 de setembro referentes aos exercícios sociais de 2024 e 2025.;Considerando que o início das atividades da KPMG se dará em 2024, não houve remuneração dos auditores independentes referentes ao último exercício social.;N/A;N/A
07.857.093/0001-14;2023-12-31;7;134376;AURA MINERALS INC.;121679;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA;;61562112001526;002879;Nacional;2020-02-03;;2020-02-03;Os serviços contratados compreendem: (i) Emissão de relatório de revisão especial sobre as demonstrações financeiras consolidadas da Companhia, preparadas de acordo com as normas internacionais de contabilidade (IFRS), apresentadas em português e Reais, referente aos exercícios findos em 31 de dezembro de 2022, 2021 e 2020 e aos trimestres findos em 31 de março, 30 de junho e 30 de setembro de 2022(ii) Emissão de relatório de revisão limitada sobre as demonstrações financeiras consolidadas da Companhia, preparadas de acordo com as normas internacionais de contabilidade (IFRS), apresentadas em português e Reais, referente ao exercício findo em 31 de dezembro de 2018 e ao trimestre findo 31 de março de 2020 (iii) serviços relacionados à oferta de distribuição pública de certificados de depósito de ações (Brazilian Depositary Receipts - BDRs).;Os honorários em 2020 totalizaram R$5.752.274,56 (US$1.116.400,00), compostos por: Serviços do item (i): R$240.450,99 (US$46.666,67) Serviços do item (ii): R$120.225,49 (US$23.333,33) Serviços do item (iii): R$3.084.768,01 (US$598.691,00) Os honorários em 2021 totalizaram R$6.060.203.50 (US$1,123,300.00) referente ao item (i). Os honorários em 2022 totalizaram R$ 1.551.542,00 (US$300,500) referente ao item (i).;Não aplicável, tendo em vista que não houve substituição dos auditores independentes.;Não aplicável, visto que não houve discordância do auditor independente.
07.857.850/0001-50;2023-12-31;9;134240;GP INVESTMENTS, LTD.;121596;KPMG AUDITORES INDEPENDENTES LTDA;;57755217000129;004189;Nacional;2022-04-29;;2022-04-29;(a) Auditoria das demonstrações financeiras do exercício findo em 31 de dezembro de 2022, preparados de acordo com as normas internacionais de relatório financeiro (International Financial Reporting Standards - IFRS), emitida pelo International Accounting Standards Board (IASB). (b) Revisão das informações contábeis intermediárias para os períodos findos em 31 de março de 2022, 30 de junho de 2022 e 30 de setembro de 2022 preparados de acordo com a norma internacional IAS 34 - Interim Financial Reporting, emitida pelo International Accounting Standards Board (IASB) e(c) Execução de procedimentos pré-acordados em relação a possível oferta de ações da Companhia.;R$ 580.000,00;Não aplicável.;Não aplicável.
07.859.510/0001-68;2023-12-31;3;131289;JHSF MALLS S.A.;119250;ERNST & YOUNG AUDITORES INDEPENDENTES S/S Ltda;;61366936000125;004715;Nacional;2017-03-30;;2017-03-30;Os serviços contratados junto ao auditor independente foram:Auditoria das demonstrações financeiras consolidadas referente ao exercício social encerrado em 31 de dezembro de 2022 da Companhia e de sua controladora JHSF Participações S.A.Revisão limitada das informações financeiras trimestrais da Companhia e de sua controladora JHSF Participações S.A. para o período de três meses findo em 31 de março, 30 de junho e 30 de setembro de 2022.;Auditoria das demonstrações financeiras anuais e trimestrais da JHSF Malls S.A. - R$461.878,48.;N/A;N/A
07.859.971/0001-30;2023-12-31;18;137638;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;123722;Deloitte Touche Tohmatsu Auditores Independentes Ltda;;49928567000200;003859;Nacional;2022-04-19;;2022-04-19;A Deloitte Touche Tohmatsu Auditores Independentes Ltda. foi contratada, no exercício social encerrado em 31 de dezembro de 2022, para realizar  (i) auditoria das demonstrações financeiras individuais e consolidadas elaboradas de acordo com práticas contábeis adotadas no Brasil e com as normas internacionais de relatório financeiro (IFRS), e demais serviços relacionados à auditoria, como RCP (Relatório de Controle Patrimonial) e Demonstrações Contábeis Regulatórias - DCRs para os exercícios sociais encerrados em 31 de dezembro de 2022, 2023 e 2024 e revisão das informações trimestrais (ITRs) para os períodos findos em 31 de março, 30 de junho e 30 de setembro de 2022, 2023 e 2024 da Companhia e (ii) auditoria das demonstrações financeiras, e demais serviços relacionados à auditoria, como RCP (Relatório de Controle Patrimonial) e Demonstrações Contábeis Regulatórias - DCRs para os exercícios sociais encerrados em 31 de dezembro de 2022, 2023 e 2024 das empresas ETAU, Brasnorte, ATE III, São Gotardo, Mariana, Miracema, Janaúba, Sant'Ana, São Pedro, São João, Lagoa Nova, Ananaí, Pitiguari, Aimorés, Paraguaçu, Saíra e Tangará. A Deloitte Touche Tohmatsu Auditores Independentes Ltda. foi contratada, no exercício social corrente, para realizar a emissão de carta conforto em conexão com a 14ª emissão de debêntures da Companhia, nos termos da Resolução CVM 160.;No exercício social encerrado em 31 de dezembro de 2022, a Deloitte Touche Tohmatsu Auditores Independentes Ltda. recebeu os seguintes valores como remuneração pelos serviços prestados à Companhia e suas controladas, conforme descritos acima, respectivamente: (i) R$ 947.088,74 e (ii) R$ 881.786,72.;Não aplicável.;Não aplicável.
07.859.971/0001-30;2023-12-31;18;137638;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;123723;ERNST & YOUNG AUDITORES INDEPENDENTES S/S Ltda;;61366936000125;004715;Nacional;2017-03-13;;2017-03-13;A Ernst & Young Auditores Independentes S/S Ltda. foi contratada para realizar (i) a auditoria, realizada de acordo com as normas brasileiras e internacionais de auditoria, das demonstrações financeiras individuais e consolidadas da Companhia e suas controladas, preparadas de acordo com as práticas contábeis adotadas no Brasil e de acordo com as normas internacionais de relatório financeiro (IFRS) para os exercícios sociais encerrados em 31 de dezembro de 2021 e 2020 (ii) bem como as revisões, efetuadas de acordo com a NBC TR 2410 - Revisão de Informações Intermediárias Executada pelo Auditor Independente da Entidade e ISRE 2410 - Review of Interim Financial Information Performed by the Independent Auditor of the Entitade, das Informações Trimestrais (ITRs) da Companhia e suas controladas elaboradas de acordo com as práticas contábeis adotadas no Brasil e com a norma internacional IAS 34 - Interim financial reporting, emitida pelo International Accounting Standards Board - IASB para os períodos findos em 31 de março, 30 de junho e 30 de setembro de 2021 e 2020 (iii) Revisão dos Relatórios de Controle Patrimonial ( RCP ) (iv) revisão das Demonstrações Contábeis Regulatórias - DCRs (v) realização de procedimentos pré-acordados relativos à oferta pública de distribuição de debêntures simples, em 2022 (vi) realização de procedimentos pré-acordados relativos à oferta pública de distribuição de debêntures simples. A Ernst & Young Auditores Independentes S/S Ltda. foi contratada, no exercício social corrente, em 2023, para realizar a emissão de carta conforto em conexão com a 14ª emissão de debêntures da Companhia, nos termos da Resolução CVM 160.;No exercício social encerrado em 31 de dezembro de 2022, a Ernst & Young Auditores Independentes S/S Ltda. recebeu os seguintes valores como remuneração pelos serviços prestados à Companhia e suas controladas, conforme descritos acima, respectivamente: (i) R$477.114,78 (ii) R$102.922,13 (iii) R$20.696,50 (iv) R$26.065,84, e (v) R$1.180.364,43.;A Companhia efetuou a substituição dos auditores independentes com base no artigo 31 da Resolução CVM nº 23/2021, levando em consideração que a Ernst & Young Auditores Independentes foi contratada no exercício de 2017.;Não aplicável.
07.882.930/0001-65;2023-12-31;9;137635;MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;123718;ERNST & YOUNG AUDITORES INDEPENDENTES S/S Ltda;;61366936000125;004715;Nacional;2022-04-11;;2022-04-11;Auditoria das demonstrações financeiras consolidadas referentes ao exercício social encerrado em 31 de dezembro de 2022, preparadas de acordo com as normas internacionais de contabilidade - International Financial Reporting Standards emitidas pelo International Accounting Standards Board, bem como revisão das Informações Trimestrais - ITR individuais e consolidadas relativas aos períodos findos em 31 de março, 30 de junho e 30 de setembro do exercício social findo em 31 de dezembro de 2022.;No exercício social encerrado em 31 de dezembro de 2022, os auditores independentes receberam honorários que totalizaram o valor de R$ 800.000,00, referentes a serviços de auditoria das Demonstrações Financeiras anuais e revisão das informações trimestrais da Companhia.;Não houve substituição dos auditores independentes.;Não houve substituição dos auditores independentes.
07.976.147/0001-60;2023-12-31;3;131570;MOVIDA LOCAÇÃO DE VEÍCULOS S.A.;119572;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA;;61562112000120;002879;Nacional;2021-04-23;;2021-04-05;Serviços relacionados à revisão e auditoria independente das demonstrações financeiras individuais  Movida Locação S.A e demonstrações financeiras individuas relativos aos 3 trimestres de 2022, findos em 31 de março, 30 de junho e 30 de setembro e ao exercício social encerrado em 31 de dezembro de 2022, preparadas de acordo com as práticas contábeis adotadas no Brasil ("BR GAAP") e Normas Internacionais de Relatório Financeiro ("IFRS"), emitidas pelo International Accounting Standard Board (IASB).;Não aplicável;Não aplicável;Não aplicável
08.065.557/0001-12;2023-12-31;13;137939;TECNISA S.A.;124069;ERNST & YOUNG AUDITORES INDEPENDENTES S/S Ltda;;61366936000125;004715;Nacional;2018-04-02;;2018-04-02;[i] Auditoria das demonstrações financeiras de 2022 e [ii] revisão das Informações Trimestrais - ITR, para os três primeiros trimestres de 2022.;Pelos serviços de auditoria externa relativas ao exercício de 2022, a remuneração do auditor foi no montante de R$ 398.856,04 (trezentos noventa e oito mil, oitocentos e cinquenta e seis reais e quatro centavos).;Não aplicável, dado que não houve substituição de auditor no período.;Não aplicável, dado que não houve substituição de auditor no período.
08.070.508/0001-78;2023-03-31;8;128940;RAIZEN ENERGIA S.A.;117574;KPMG Auditores Independentes Ltda.;;57755217000129;004189;Nacional;2015-04-01;;;(i) Auditoria das demonstrações financeiras individuais e consolidadas da Raízen Energia S.A. para o exercício findo em 31 de março de 2020, de acordo com as práticas contábeis adotadas no Brasil ("BR GAAP") e normas internacionais de relatório financeiro ("IFRS") emitidas pelo Internacional Accounting Standards Board ("IASB").;A remuneração total da KPMG pelos serviços de auditoria prestados no exercício social encerrado em 31 de março de 2020 foi de R$ 3.205.407,07.;Atendimento ao rodízio obrigatório estabelecido pelo artigo 31 da Instrução CVM nº 308/99.;N/A
