CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Posicao;Quantidade_Amarelo;Quantidade_Branco;Quantidade_Preto;Quantidade_Pardo;Quantidade_Indigena;Quantidade_Outros;Quantidade_Sem_Resposta
05.347.060/0001-07;2023-12-31;4;135611;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;Liderança;0;27;1;52;0;0;79
05.347.060/0001-07;2023-12-31;4;135611;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;Não-liderança;0;33;4;145;0;0;743
05.878.397/0001-32;2023-12-31;12;137501;ALLOS S.A.;Liderança;7;214;23;87;0;0;23
05.878.397/0001-32;2023-12-31;12;137501;ALLOS S.A.;Não-liderança;41;765;287;940;0;0;222
05.917.486/0001-40;2023-12-31;6;135924;LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.;Liderança;0;30;4;7;0;0;0
05.917.486/0001-40;2023-12-31;6;135924;LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.;Não-liderança;1;130;1;146;0;0;0
06.047.087/0001-39;2023-12-31;8;137033;REDE D'OR SÃO LUIZ S.A.;Liderança;0;0;0;0;0;0;293
06.047.087/0001-39;2023-12-31;8;137033;REDE D'OR SÃO LUIZ S.A.;Não-liderança;0;0;0;0;0;0;70733
06.057.223/0001-71;2023-12-31;23;137036;SENDAS DISTRIBUIDORA S.A.;Liderança;109;2009;833;2982;15;246;0
06.057.223/0001-71;2023-12-31;23;137036;SENDAS DISTRIBUIDORA S.A.;Não-liderança;1180;18647;10676;33214;311;3676;0
06.164.253/0001-87;2023-12-31;17;137756;GOL LINHAS AEREAS INTELIGENTES S.A.;Liderança;13;338;13;63;1;27;0
06.164.253/0001-87;2023-12-31;17;137756;GOL LINHAS AEREAS INTELIGENTES S.A.;Não-liderança;212;9017;854;4000;15;271;0
06.272.793/0001-84;2023-12-31;8;136841;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;Liderança;2;91;13;97;0;0;6
06.272.793/0001-84;2023-12-31;8;136841;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;Não-liderança;17;388;127;728;0;1;29
06.626.253/0001-51;2023-12-31;16;137001;EMPREENDIMENTOS PAGUE MENOS S.A.;Liderança;17;496;126;991;2;0;1
06.626.253/0001-51;2023-12-31;16;137001;EMPREENDIMENTOS PAGUE MENOS S.A.;Não-liderança;258;4780;2910;11304;68;0;8
06.977.751/0001-49;2023-12-31;11;133016;BR PROPERTIES S.A.;Liderança;0;9;0;0;0;0;1
06.977.751/0001-49;2023-12-31;11;133016;BR PROPERTIES S.A.;Não-liderança;0;37;0;6;0;0;23
07.040.108/0001-57;2023-12-31;7;136578;CAGECE - CIA DE AGUA E ESGOTO DO CEARA;Liderança;3;171;16;202;0;0;3
07.040.108/0001-57;2023-12-31;7;136578;CAGECE - CIA DE AGUA E ESGOTO DO CEARA;Não-liderança;4;292;30;460;0;0;4
07.043.628/0001-13;2023-12-31;2;128407;CLARO TELECOM PARTICIPAÇÕES S.A.;Liderança;0;0;0;0;0;0;1
07.043.628/0001-13;2023-12-31;2;128407;CLARO TELECOM PARTICIPAÇÕES S.A.;Não-liderança;0;0;0;0;0;0;1
07.047.251/0001-70;2023-12-31;8;136509;CIA ENERGETICA DO CEARA - COELCE;Liderança;1;55;1;25;0;2;30
07.047.251/0001-70;2023-12-31;8;136509;CIA ENERGETICA DO CEARA - COELCE;Não-liderança;5;241;42;266;0;0;381
07.206.816/0001-15;2023-12-31;3;135587;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;Liderança;23;573;91;709;4;0;6
07.206.816/0001-15;2023-12-31;3;135587;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;Não-liderança;133;3703;1594;9247;46;0;31
07.237.373/0001-20;2023-12-31;20;136818;BCO NORDESTE DO BRASIL S.A.;Liderança;30;1835;106;778;5;0;4
07.237.373/0001-20;2023-12-31;20;136818;BCO NORDESTE DO BRASIL S.A.;Não-liderança;32;2588;131;1056;7;0;22
07.253.321/0001-47;2023-12-31;2;135697;CARBOMIL SA MINER. E INDUSTRIA;Liderança;0;4;0;0;0;0;0
07.253.321/0001-47;2023-12-31;2;135697;CARBOMIL SA MINER. E INDUSTRIA;Não-liderança;2;8;0;0;0;0;0
07.275.159/0001-68;2023-12-31;7;137227;PETROLEO LUB DO NORDESTE SA;Liderança;0;1;0;0;0;0;0
07.275.159/0001-68;2023-12-31;7;137227;PETROLEO LUB DO NORDESTE SA;Não-liderança;0;1;0;0;0;0;0
07.334.600/0001-35;2023-12-31;1;127088;MARINA DE IRACEMA PARK SA;Liderança;0;0;0;0;0;0;0
07.334.600/0001-35;2023-12-31;1;127088;MARINA DE IRACEMA PARK SA;Não-liderança;0;0;0;0;0;0;204
07.415.333/0001-20;2023-12-31;9;136208;SIMPAR S.A.;Liderança;37;1636;102;874;0;116;0
07.415.333/0001-20;2023-12-31;9;136208;SIMPAR S.A.;Não-liderança;412;14248;3839;19393;73;2136;0
07.437.016/0001-05;2023-12-31;1;127753;CINESYSTEM S.A.;Liderança;0;81;4;21;0;0;0
07.437.016/0001-05;2023-12-31;1;127753;CINESYSTEM S.A.;Não-liderança;6;265;42;162;1;1;4
07.526.557/0001-00;2023-12-31;14;136881;AMBEV S.A.;Liderança;108;3942;393;1189;11;8;1776
07.526.557/0001-00;2023-12-31;14;136881;AMBEV S.A.;Não-liderança;165;6665;2644;7227;62;86;3932
07.594.978/0001-78;2023-12-31;16;138419;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;Liderança;17;341;102;218;5;3;3
07.594.978/0001-78;2023-12-31;16;138419;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;Não-liderança;155;2579;1005;1827;42;22;37
07.689.002/0001-89;2023-12-31;9;138085;EMBRAER S.A.;Liderança;22;725;32;0;0;0;166
07.689.002/0001-89;2023-12-31;9;138085;EMBRAER S.A.;Não-liderança;229;11211;2128;0;7;0;2197
07.704.246/0001-93;2023-12-31;3;137029;DATORA PARTICIPAÇÕES E SERVIÇOS S.A.;Liderança;0;0;0;0;0;0;45
07.704.246/0001-93;2023-12-31;3;137029;DATORA PARTICIPAÇÕES E SERVIÇOS S.A.;Não-liderança;0;0;0;0;0;0;177
07.718.269/0001-57;2023-12-31;9;139822;SPRINGS GLOBAL PARTICIPACOES S.A.;Liderança;0;14;0;0;0;0;0
07.718.269/0001-57;2023-12-31;9;139822;SPRINGS GLOBAL PARTICIPACOES S.A.;Não-liderança;0;0;0;0;0;0;1
07.816.890/0001-53;2023-12-31;7;137757;MULTIPLAN - EMPREEND IMOBILIARIOS S.A.;Liderança;0;26;1;3;0;0;9
07.816.890/0001-53;2023-12-31;7;137757;MULTIPLAN - EMPREEND IMOBILIARIOS S.A.;Não-liderança;0;102;14;52;1;1;103
07.820.907/0001-46;2023-12-31;4;133675;FICA EMPREENDIMENTOS IMOBILIÁRIOS S.A.;Liderança;0;0;0;0;0;0;7
07.820.907/0001-46;2023-12-31;4;133675;FICA EMPREENDIMENTOS IMOBILIÁRIOS S.A.;Não-liderança;0;0;0;0;0;0;11
07.857.093/0001-14;2023-12-31;7;134376;AURA MINERALS INC.;Liderança;0;0;0;0;0;0;195
07.857.093/0001-14;2023-12-31;7;134376;AURA MINERALS INC.;Não-liderança;0;0;0;0;0;0;954
07.857.850/0001-50;2023-12-31;9;134240;GP INVESTMENTS, LTD.;Liderança;1;11;0;0;0;0;0
07.857.850/0001-50;2023-12-31;9;134240;GP INVESTMENTS, LTD.;Não-liderança;1;19;1;4;0;0;0
07.859.510/0001-68;2023-12-31;3;131289;JHSF MALLS S.A.;Liderança;0;13;0;2;0;0;27
07.859.510/0001-68;2023-12-31;3;131289;JHSF MALLS S.A.;Não-liderança;0;23;0;4;0;0;4
07.859.971/0001-30;2023-12-31;18;137638;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;Liderança;0;52;4;17;0;0;1
07.859.971/0001-30;2023-12-31;18;137638;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;Não-liderança;3;341;57;249;4;0;4
07.882.930/0001-65;2023-12-31;9;137635;MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Liderança;0;0;0;0;0;0;106
07.882.930/0001-65;2023-12-31;9;137635;MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Não-liderança;0;0;0;0;0;0;577
07.976.147/0001-60;2023-12-31;3;131570;MOVIDA LOCAÇÃO DE VEÍCULOS S.A.;Liderança;10;422;18;168;0;0;0
07.976.147/0001-60;2023-12-31;3;131570;MOVIDA LOCAÇÃO DE VEÍCULOS S.A.;Não-liderança;61;2289;416;1850;7;5;0
08.065.557/0001-12;2023-12-31;13;137939;TECNISA S.A.;Liderança;2;25;0;5;0;0;0
08.065.557/0001-12;2023-12-31;13;137939;TECNISA S.A.;Não-liderança;3;185;32;96;0;0;1
08.078.847/0001-09;2023-12-31;8;137144;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;Liderança;2;39;3;6;0;0;67
08.078.847/0001-09;2023-12-31;8;137144;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;Não-liderança;3;62;14;39;1;0;226
08.159.965/0001-33;2023-12-31;9;134562;IGUA SANEAMENTO S.A.;Liderança;6;252;85;0;0;0;0
08.159.965/0001-33;2023-12-31;9;134562;IGUA SANEAMENTO S.A.;Não-liderança;26;1013;1127;0;3;0;0
08.170.849/0001-15;2023-12-31;17;135989;DESKTOP S.A.;Liderança;1;149;9;45;0;0;146
08.170.849/0001-15;2023-12-31;17;135989;DESKTOP S.A.;Não-liderança;6;1066;203;686;2;0;1178
08.294.224/0001-65;2023-12-31;12;137694;JHSF PARTICIPACOES S.A.;Liderança;1;229;14;104;1;0;9
08.294.224/0001-65;2023-12-31;12;137694;JHSF PARTICIPACOES S.A.;Não-liderança;21;970;223;911;2;0;56
08.312.229/0001-73;2023-12-31;8;137519;EZ TEC EMPREEND. E PARTICIPACOES S.A.;Liderança;0;42;0;15;0;0;0
08.312.229/0001-73;2023-12-31;8;137519;EZ TEC EMPREEND. E PARTICIPACOES S.A.;Não-liderança;1;315;58;598;0;0;51
08.324.196/0001-81;2023-12-31;9;136190;CIA ENERGETICA DO RIO GDE NORTE - COSERN;Liderança;0;41;1;28;0;0;0
08.324.196/0001-81;2023-12-31;9;136190;CIA ENERGETICA DO RIO GDE NORTE - COSERN;Não-liderança;10;412;63;462;1;0;5
08.343.492/0001-20;2023-12-31;19;137479;MRV ENGENHARIA E PARTICIPACOES S.A.;Liderança;22;878;50;325;53;0;55
08.343.492/0001-20;2023-12-31;19;137479;MRV ENGENHARIA E PARTICIPACOES S.A.;Não-liderança;156;3892;1723;7054;509;0;3576
08.364.948/0001-38;2023-12-31;7;135895;ALUPAR INVESTIMENTO S/A;Liderança;0;0;0;0;0;0;16
08.364.948/0001-38;2023-12-31;7;135895;ALUPAR INVESTIMENTO S/A;Não-liderança;0;0;0;0;0;0;36
08.397.078/0001-01;2023-12-31;6;136026;GSH CORP PARTICIPAÇÕES S.A.;Liderança;0;0;0;0;0;0;228
08.397.078/0001-01;2023-12-31;6;136026;GSH CORP PARTICIPAÇÕES S.A.;Não-liderança;0;0;0;0;0;0;1615
08.402.943/0001-52;2023-12-31;3;137765;GUARARAPES CONFECCOES S.A.;Liderança;26;1047;82;639;5;0;84
08.402.943/0001-52;2023-12-31;3;137765;GUARARAPES CONFECCOES S.A.;Não-liderança;411;7782;2295;16660;99;0;2025
08.424.178/0001-71;2023-12-31;1;127296;TECBLU TECELAGEM BLUMENAU S.A.;Liderança;0;1;0;0;0;0;0
08.424.178/0001-71;2023-12-31;1;127296;TECBLU TECELAGEM BLUMENAU S.A.;Não-liderança;0;1;0;0;0;0;0
08.467.115/0001-00;2023-12-31;10;137686;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;Liderança;0;45;1;5;0;0;13
08.467.115/0001-00;2023-12-31;10;137686;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;Não-liderança;2;698;39;53;3;0;111
08.560.444/0001-93;2023-12-31;6;135934;CIA CELG DE PARTICIPACOES - CELGPAR;Liderança;0;0;0;0;0;0;18
08.560.444/0001-93;2023-12-31;6;135934;CIA CELG DE PARTICIPACOES - CELGPAR;Não-liderança;0;0;0;0;0;0;125
08.574.411/0001-00;2023-12-31;5;137653;PRÁTICA PRODUTOS S.A.;Liderança;0;81;1;3;0;0;0
08.574.411/0001-00;2023-12-31;5;137653;PRÁTICA PRODUTOS S.A.;Não-liderança;0;352;30;131;0;0;0
08.764.621/0001-53;2023-12-31;3;130729;GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A.;Liderança;1;14;0;1;0;0;0
08.764.621/0001-53;2023-12-31;3;130729;GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A.;Não-liderança;0;45;5;17;0;0;0
08.773.135/0001-00;2023-12-31;12;136052;2W ECOBANK S.A.;Liderança;0;37;0;0;0;0;4
08.773.135/0001-00;2023-12-31;12;136052;2W ECOBANK S.A.;Não-liderança;6;52;8;29;0;0;18
08.773.191/0001-36;2023-12-31;3;136984;BRASILIANA PARTICIPAÇÕES S/A;Liderança;0;1;0;0;0;0;0
08.773.191/0001-36;2023-12-31;3;136984;BRASILIANA PARTICIPAÇÕES S/A;Não-liderança;0;1;0;0;0;0;0
08.795.211/0001-70;2023-12-31;6;136568;MAESTRO LOCADORA DE VEICULOS S.A.;Liderança;0;19;1;1;0;0;0
08.795.211/0001-70;2023-12-31;6;136568;MAESTRO LOCADORA DE VEICULOS S.A.;Não-liderança;2;37;8;7;1;0;0
08.797.760/0001-83;2023-12-31;10;137337;CURY CONSTRUTORA E INCORPORADORA S.A.;Liderança;0;26;5;74;0;0;6
08.797.760/0001-83;2023-12-31;10;137337;CURY CONSTRUTORA E INCORPORADORA S.A.;Não-liderança;13;297;129;878;1;0;262
08.801.621/0001-86;2023-12-31;9;135971;SYN PROP & TECH S.A.;Liderança;2;75;5;9;1;0;7
08.801.621/0001-86;2023-12-31;9;135971;SYN PROP & TECH S.A.;Não-liderança;2;137;33;54;0;4;27
08.807.432/0001-10;2023-12-31;18;137953;YDUQS PARTICIPACOES S.A.;Liderança;5;1096;29;233;2;1;60
08.807.432/0001-10;2023-12-31;18;137953;YDUQS PARTICIPACOES S.A.;Não-liderança;23;11533;278;1723;10;8;604
08.810.422/0001-34;2023-12-31;1;128027;GUARARAPES PAINÉIS S.A.;Liderança;0;66;0;4;0;0;2
08.810.422/0001-34;2023-12-31;1;128027;GUARARAPES PAINÉIS S.A.;Não-liderança;4;534;15;48;0;0;11
08.811.643/0001-27;2023-12-31;6;137607;TRISUL S.A.;Liderança;0;0;0;0;0;0;71
08.811.643/0001-27;2023-12-31;6;137607;TRISUL S.A.;Não-liderança;0;0;0;0;0;0;293
08.902.291/0001-15;2023-12-31;4;135595;CSN MINERAÇÃO S.A.;Liderança;4;209;90;0;0;0;1
08.902.291/0001-15;2023-12-31;4;135595;CSN MINERAÇÃO S.A.;Não-liderança;188;2912;4145;0;25;0;115
08.935.054/0001-50;2023-12-31;2;133497;MULTINER S/A;Liderança;0;9;0;0;0;0;0
08.935.054/0001-50;2023-12-31;2;133497;MULTINER S/A;Não-liderança;0;8;1;9;0;0;0
09.041.168/0001-10;2023-12-31;9;136085;LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES;Liderança;0;47;2;18;0;0;11
09.041.168/0001-10;2023-12-31;9;136085;LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES;Não-liderança;3;88;42;182;0;0;210
09.042.817/0001-05;2023-12-31;17;138088;BEMOBI MOBILE TECH S.A.;Liderança;2;57;4;20;0;0;37
09.042.817/0001-05;2023-12-31;17;138088;BEMOBI MOBILE TECH S.A.;Não-liderança;3;313;36;122;1;0;172
09.053.134/0001-45;2023-12-31;5;133317;ELFA MEDICAMENTOS S.A.;Liderança;10;159;11;59;1;0;59
09.053.134/0001-45;2023-12-31;5;133317;ELFA MEDICAMENTOS S.A.;Não-liderança;38;1020;237;663;7;0;565
09.054.385/0001-44;2023-12-31;1;127468;INBRANDS S.A.;Liderança;0;123;11;23;3;0;136
09.054.385/0001-44;2023-12-31;1;127468;INBRANDS S.A.;Não-liderança;3;340;32;129;4;0;1460
09.112.685/0001-32;2023-12-31;6;136743;OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;Liderança;0;2;0;0;0;0;0
09.112.685/0001-32;2023-12-31;6;136743;OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;Não-liderança;0;3;1;1;0;0;0
09.114.805/0001-30;2023-12-31;13;137832;OCEANPACT SERVIÇOS MARITIMOS S.A.;Liderança;8;318;34;180;1;0;13
09.114.805/0001-30;2023-12-31;13;137832;OCEANPACT SERVIÇOS MARITIMOS S.A.;Não-liderança;11;683;154;553;1;0;67
09.146.451/0001-06;2023-12-31;8;135850;KALLAS INCORPORAÇÕES E CONSTRUÇÕES S.A.;Liderança;0;5;0;1;0;0;0
09.146.451/0001-06;2023-12-31;8;135850;KALLAS INCORPORAÇÕES E CONSTRUÇÕES S.A.;Não-liderança;5;299;113;187;2;5;5
09.229.201/0001-30;2023-12-31;7;135939;GPS PARTICIPAÇÕES E EMPREENDIMENTOS S.A.;Liderança;7;569;49;614;40;0;545
09.229.201/0001-30;2023-12-31;7;135939;GPS PARTICIPAÇÕES E EMPREENDIMENTOS S.A.;Não-liderança;360;19698;5302;54716;2811;0;56072
09.257.877/0001-37;2023-12-31;9;136086;FERROVIA NORTE SUL S/A;Liderança;1;12;3;21;0;0;0
09.257.877/0001-37;2023-12-31;9;136086;FERROVIA NORTE SUL S/A;Não-liderança;15;154;75;456;1;0;1
09.267.996/0001-70;2023-12-31;9;137987;YUNY INCORPORADORA HOLDING S.A.;Liderança;0;0;0;0;0;0;30
09.267.996/0001-70;2023-12-31;9;137987;YUNY INCORPORADORA HOLDING S.A.;Não-liderança;0;0;0;0;0;0;40
09.288.252/0001-32;2023-12-31;15;138415;ANIMA HOLDING S.A.;Liderança;21;936;50;374;1;0;17
09.288.252/0001-32;2023-12-31;15;138415;ANIMA HOLDING S.A.;Não-liderança;127;10408;1116;4352;12;47;189
09.295.063/0001-97;2023-12-31;3;137795;TECHNOS S.A.;Liderança;1;36;3;27;0;0;0
09.295.063/0001-97;2023-12-31;3;137795;TECHNOS S.A.;Não-liderança;11;136;27;172;5;3;7
09.305.994/0001-29;2023-12-31;14;137785;AZUL S.A.;Liderança;32;2409;59;393;4;1;0
09.305.994/0001-29;2023-12-31;14;137785;AZUL S.A.;Não-liderança;189;7138;742;3179;28;73;0
09.346.601/0001-25;2023-12-31;17;137720;B3 S.A. - BRASIL, BOLSA, BALCÃO;Liderança;28;443;11;48;0;0;5
09.346.601/0001-25;2023-12-31;17;137720;B3 S.A. - BRASIL, BOLSA, BALCÃO;Não-liderança;78;1487;170;436;1;0;28
09.347.516/0001-81;2023-12-31;12;136820;ELETROMIDIA S.A.;Liderança;1;83;7;30;0;3;0
09.347.516/0001-81;2023-12-31;12;136820;ELETROMIDIA S.A.;Não-liderança;12;199;78;183;3;87;0
09.527.023/0001-23;2023-12-31;6;139422;ENVIRONMENTAL ESG PARTICIPAÇÕES S.A.;Liderança;69;321;98;122;0;23;0
09.527.023/0001-23;2023-12-31;6;139422;ENVIRONMENTAL ESG PARTICIPAÇÕES S.A.;Não-liderança;92;4792;771;2546;18;102;0
09.611.768/0001-76;2023-12-31;4;138011;INC EMPREENDIMENTOS IMOBILIÁRIOS S.A.;Liderança;0;0;0;0;0;0;34
09.611.768/0001-76;2023-12-31;4;138011;INC EMPREENDIMENTOS IMOBILIÁRIOS S.A.;Não-liderança;0;0;0;0;0;0;789
09.813.204/0001-16;2023-12-31;2;134424;W2W E-COMMERCE DE VINHOS S.A.;Liderança;2;33;4;20;0;0;22
09.813.204/0001-16;2023-12-31;2;134424;W2W E-COMMERCE DE VINHOS S.A.;Não-liderança;3;155;35;105;3;1;174
10.139.870/0001-08;2023-12-31;4;135927;NEOGRID PARTICIPAÇÕES S.A.;Liderança;4;59;3;2;0;0;59
10.139.870/0001-08;2023-12-31;4;135927;NEOGRID PARTICIPAÇÕES S.A.;Não-liderança;12;357;38;68;3;0;304
10.285.590/0001-08;2023-12-31;10;137695;GRUPO DE MODA SOMA S.A.;Liderança;20;803;65;178;1;0;70
10.285.590/0001-08;2023-12-31;10;137695;GRUPO DE MODA SOMA S.A.;Não-liderança;178;5742;1822;4285;25;4;783
10.324.624/0001-18;2023-12-31;5;137863;CONCESSÃO METROVIÁRIA DO RIO DE JANEIRO S.A.;Liderança;1;110;6;50;0;0;1
10.324.624/0001-18;2023-12-31;5;137863;CONCESSÃO METROVIÁRIA DO RIO DE JANEIRO S.A.;Não-liderança;8;867;295;813;1;0;4
10.338.320/0001-00;2023-12-31;5;135815;AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A;Liderança;0;2;0;0;0;0;0
10.338.320/0001-00;2023-12-31;5;135815;AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A;Não-liderança;0;2;2;1;0;0;0
10.488.244/0001-19;2023-12-31;2;136018;INFRASEC SECURITIZADORA S.A.;Liderança;0;1;0;0;0;0;0
10.488.244/0001-19;2023-12-31;2;136018;INFRASEC SECURITIZADORA S.A.;Não-liderança;0;1;0;0;0;0;0
10.502.676/0001-37;2023-12-31;1;127426;TERMELÉTRICA PERNAMBUCO III S.A.;Liderança;0;7;1;2;0;0;0
10.502.676/0001-37;2023-12-31;1;127426;TERMELÉTRICA PERNAMBUCO III S.A.;Não-liderança;0;27;0;2;0;0;0
10.571.175/0001-02;2023-12-31;10;136844;URBA DESENVOLVIMENTO URBANO S.A.;Liderança;2;45;3;13;7;0;11
10.571.175/0001-02;2023-12-31;10;136844;URBA DESENVOLVIMENTO URBANO S.A.;Não-liderança;3;91;17;231;24;0;24
10.629.105/0001-68;2023-12-31;19;136834;PRIO S.A.;Liderança;0;104;4;31;0;0;0
10.629.105/0001-68;2023-12-31;19;136834;PRIO S.A.;Não-liderança;4;328;48;126;0;0;0
10.635.691/0001-53;2023-12-31;1;127914;VIARONDON CONCESSIONÁRIA DE RODOVIA S.A.;Liderança;0;0;0;0;0;0;88
10.635.691/0001-53;2023-12-31;1;127914;VIARONDON CONCESSIONÁRIA DE RODOVIA S.A.;Não-liderança;0;0;0;0;0;0;557
10.739.356/0001-03;2023-12-31;8;133425;BR ADVISORY PARTNERS PARTICIPAÇÕES S.A.;Liderança;4;45;1;0;0;0;0
10.739.356/0001-03;2023-12-31;8;133425;BR ADVISORY PARTNERS PARTICIPAÇÕES S.A.;Não-liderança;1;85;6;9;0;0;0
10.760.260/0001-19;2023-12-31;23;138038;CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.;Liderança;11;288;13;48;1;0;8
10.760.260/0001-19;2023-12-31;23;138038;CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.;Não-liderança;30;1295;194;464;5;0;75
10.807.374/0001-77;2023-12-31;4;131521;BOA SAFRA SEMENTES S.A.;Liderança;0;16;4;9;0;0;0
10.807.374/0001-77;2023-12-31;4;131521;BOA SAFRA SEMENTES S.A.;Não-liderança;0;96;59;248;0;0;0
10.835.932/0001-08;2023-12-31;9;135992;CIA ENERGETICA DE PERNAMBUCO - CELPE;Liderança;2;118;7;61;0;0;0
10.835.932/0001-08;2023-12-31;9;135992;CIA ENERGETICA DE PERNAMBUCO - CELPE;Não-liderança;43;1106;329;1649;14;0;218
10.851.805/0001-00;2023-12-31;1;130805;FLEX GESTÃO DE RELACIONAMENTOS S.A.-EM RECUPERAÇÃO JUDICIAL;Liderança;0;0;0;0;0;0;372
10.851.805/0001-00;2023-12-31;1;130805;FLEX GESTÃO DE RELACIONAMENTOS S.A.-EM RECUPERAÇÃO JUDICIAL;Não-liderança;0;0;0;0;0;0;4315
11.257.352/0001-43;2023-12-31;2;128319;BSI CAPITAL SECURITIZADORA S.A.;Liderança;0;2;0;0;0;0;0
11.257.352/0001-43;2023-12-31;2;128319;BSI CAPITAL SECURITIZADORA S.A.;Não-liderança;0;2;0;0;0;0;0
11.284.204/0001-18;2023-12-31;7;135896;YOU INC INCORPORADORA E PARTICIPAÇÃO S.A;Liderança;1;69;2;21;0;0;0
11.284.204/0001-18;2023-12-31;7;135896;YOU INC INCORPORADORA E PARTICIPAÇÃO S.A;Não-liderança;1;28;5;9;0;0;0
11.421.994/0001-36;2023-12-31;18;137737;ORIZON VALORIZAÇÃO DE RESÍDUOS S.A.;Liderança;0;28;2;13;0;0;68
11.421.994/0001-36;2023-12-31;18;137737;ORIZON VALORIZAÇÃO DE RESÍDUOS S.A.;Não-liderança;11;311;97;470;0;0;979
11.669.021/0001-10;2023-12-31;14;135683;ENAUTA PARTICIPAÇÕES S.A.;Liderança;0;51;2;5;0;1;2
11.669.021/0001-10;2023-12-31;14;135683;ENAUTA PARTICIPAÇÕES S.A.;Não-liderança;1;69;11;22;0;0;3
11.716.471/0001-17;2023-12-31;1;128179;TRX SECURITIZADORA S.A.;Liderança;0;0;0;0;0;0;3
11.716.471/0001-17;2023-12-31;1;128179;TRX SECURITIZADORA S.A.;Não-liderança;0;0;0;0;0;0;2
11.721.921/0001-60;2023-12-31;10;136541;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;Liderança;5;144;5;45;0;0;8
11.721.921/0001-60;2023-12-31;10;136541;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;Não-liderança;7;328;49;163;1;0;14
11.725.176/0001-27;2023-12-31;5;131125;BOA VISTA SERVIÇOS S.A.;Liderança;4;126;9;14;0;19;25
11.725.176/0001-27;2023-12-31;5;131125;BOA VISTA SERVIÇOS S.A.;Não-liderança;16;561;71;165;1;83;93
11.992.680/0001-93;2023-12-31;11;137624;QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.;Liderança;1;232;24;52;5;1;5
11.992.680/0001-93;2023-12-31;11;137624;QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.;Não-liderança;16;1253;207;534;12;0;90
12.049.631/0001-84;2023-12-31;4;133256;MOURA DUBEUX ENGENHARIA S/A;Liderança;0;53;2;71;0;0;0
12.049.631/0001-84;2023-12-31;4;133256;MOURA DUBEUX ENGENHARIA S/A;Não-liderança;7;398;448;2668;0;0;0
12.091.809/0001-55;2023-12-31;26;137857;3R PETROLEUM ÓLEO E GÁS S.A.;Liderança;0;47;3;19;0;0;72
12.091.809/0001-55;2023-12-31;26;137857;3R PETROLEUM ÓLEO E GÁS S.A.;Não-liderança;1;107;12;63;0;0;182
12.104.241/0004-02;2023-12-31;16;137913;ONCOCLÍNICAS DO BRASIL SERVIÇOS MÉDICOS S.A.;Liderança;4;292;30;289;0;0;80
12.104.241/0004-02;2023-12-31;16;137913;ONCOCLÍNICAS DO BRASIL SERVIÇOS MÉDICOS S.A.;Não-liderança;90;2375;676;3022;6;53;563
12.108.897/0001-50;2023-12-31;8;137392;D1000 VAREJO FARMA PARTICIPAÇÕES S.A.;Liderança;2;256;54;458;0;0;6
12.108.897/0001-50;2023-12-31;8;137392;D1000 VAREJO FARMA PARTICIPAÇÕES S.A.;Não-liderança;38;713;398;1820;7;0;16
12.181.987/0001-77;2023-12-31;16;138479;MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.;Liderança;0;104;0;4;1;0;0
12.181.987/0001-77;2023-12-31;16;138479;MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.;Não-liderança;0;649;19;27;0;0;0
