CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Total_Remuneracao;Orgao_Administracao;Numero_Membros;Total_Remuneracao_Orgao;Numero_Membros_Remunerados;Salario;Beneficios_Diretos_Indiretos;Participacoes_Comites;Outros_Valores_Fixos;Descricao_Outros_Remuneracoes_Fixas;Bonus;Participacao_Resultados;Participacao_Reunioes;Outros_Valores_Variaveis;Comissoes;Descricao_Outros_Remuneracoes_Variaveis;Pos_emprego;Cessacao_Cargo;Baseada_Acoes;Observacao
00.864.214/0001-06;2023-12-31;19;137075;ENERGISA S.A.;2023-01-01;2023-12-31;11660714.36;Conselho Fiscal;7.33;369868.56;3.67;369868.56;0.00;0.00;0.00;Não aplicável;0.00;0.00;0.00;0.00;0.00;Não aplicável;0.00;0.00;0.00;(1)O número de membros de cada órgão foi apurado da forma especificada no Ofício Circular/Anual-2023-CVM/SEP.(2)Detalhamento do cálculo do número de membros está no item 8.20 deste Formulário de Referência.(3)O valor realizado não contém encargos (diferente do contábil).
00.873.894/0001-24;2023-12-31;2;134610;LETS RENT A CAR S/A;2023-01-01;2023-12-31;1600000.00;Conselho de Administração;0.75;0.00;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;Conforme disposto no Ofício Circular/Anual 2023 CVM/SEP o número de membros do Conselho de Administração foi apurado de acordo com a média anual do número de membros de referido órgão apurado mensalmente, com duas casas decimais.
00.873.894/0001-24;2023-12-31;2;134610;LETS RENT A CAR S/A;2023-01-01;2023-12-31;1600000.00;Diretoria Estatutária;5.00;1600000.00;1.00;1600000.00;0.00;0.00;0.00;Não aplicável.;0.00;0.00;0.00;0.00;0.00;Não aplicável.;0.00;0.00;0.00;Conforme disposto no Ofício Circular/Anual 2023 CVM/SEP o número de membros do Conselho de Administração foi apurado de acordo com a média anual do número de membros de referido órgão apurado mensalmente, com duas casas decimais.
00.873.894/0001-24;2023-12-31;2;134610;LETS RENT A CAR S/A;2023-01-01;2023-12-31;1600000.00;Conselho Fiscal;0.00;0.00;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;Conforme disposto no Ofício Circular/Anual 2023 CVM/SEP o número de membros do Conselho de Administração foi apurado de acordo com a média anual do número de membros de referido órgão apurado mensalmente, com duas casas decimais.
00.873.894/0001-24;2023-12-31;2;134610;LETS RENT A CAR S/A;2022-01-01;2022-12-31;0.00;Diretoria Estatutária;5.00;0.00;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;Conforme disposto no Ofício Circular/Anual 2023 CVM/SEP o número de membros do Conselho de Administração foi apurado de acordo com a média anual do número de membros de referido órgão apurado mensalmente, com duas casas decimais.
00.873.894/0001-24;2023-12-31;2;134610;LETS RENT A CAR S/A;2021-01-01;2021-12-31;0.00;Diretoria Estatutária;5.00;0.00;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;Conforme disposto no Ofício Circular/Anual 2023 CVM/SEP o número de membros do Conselho de Administração foi apurado de acordo com a média anual do número de membros de referido órgão apurado mensalmente, com duas casas decimais.
00.873.894/0001-24;2023-12-31;2;134610;LETS RENT A CAR S/A;2020-01-01;2020-12-31;0.00;Diretoria Estatutária;5.00;0.00;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;Conforme disposto no Ofício Circular/Anual 2023 CVM/SEP o número de membros do Conselho de Administração foi apurado de acordo com a média anual do número de membros de referido órgão apurado mensalmente, com duas casas decimais.
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;2021-01-01;2021-12-31;12136.67;Conselho de Administração;4.50;12136.67;1.00;12136.67;0.00;0.00;0.00;N/A;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;N/A
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;2021-01-01;2021-12-31;12136.67;Diretoria Estatutária;5.00;0.00;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;N/A
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;2021-01-01;2021-12-31;12136.67;Conselho Fiscal;0.00;0.00;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;N/A
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;2020-01-01;2020-12-31;12534.00;Conselho de Administração;4.83;12534.00;1.00;12534.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;2020-01-01;2020-12-31;12534.00;Diretoria Estatutária;5.17;0.00;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;N/A
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;2020-01-01;2020-12-31;12534.00;Conselho Fiscal;0.00;0.00;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;2022-01-01;2022-12-31;14544.00;Conselho de Administração;4.33;14544.00;0.92;14544.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;N/A
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;2022-01-01;2022-12-31;14544.00;Diretoria Estatutária;4.83;0.00;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;N/A
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;2022-01-01;2022-12-31;14544.00;Conselho Fiscal;0.00;0.00;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;N/A
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;2023-01-01;2023-12-31;15768.00;Conselho de Administração;5.00;15768.00;1.00;15768.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;N/A
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;2023-01-01;2023-12-31;15768.00;Diretoria Estatutária;5.00;0.00;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;N/A
00.924.429/0001-75;2023-12-31;9;137128;FERROVIA CENTRO-ATLANTICA S.A.;2023-01-01;2023-12-31;15768.00;Conselho Fiscal;0.00;0.00;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;0.00;0.00;N/A;0.00;0.00;0.00;N/A
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;2021-01-01;2021-12-31;4300000.00;Conselho de Administração;7.00;439932.00;7.00;366610.00;0.00;0.00;73322.00;INSS;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;2021-01-01;2021-12-31;4300000.00;Diretoria Estatutária;2.00;3860068.00;2.00;1534439.50;533010.44;0.00;429643.06;INSS E FGTS;1362975.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;2020-01-01;2020-12-31;3156018.07;Conselho de Administração;7.00;141972.65;7.00;118310.54;0.00;0.00;23662.11;INSS;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;2020-01-01;2020-12-31;3156018.07;Diretoria Estatutária;2.00;3014045.42;2.00;1497887.50;382391.92;0.00;419408.50;INSS E FGTS;714357.50;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;2022-01-01;2022-12-31;6347390.08;Conselho de Administração;7.00;775583.04;7.00;646319.20;0.00;0.00;129263.84;INSS;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;2022-01-01;2022-12-31;6347390.08;Diretoria Estatutária;2.00;5571807.04;2.00;1856892.00;682720.00;0.00;519929.76;INSS e FGTS;2093554.40;0.00;0.00;418710.88;0.00;Bônus;0.00;0.00;0.00;
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;2023-01-01;2023-12-31;5400000.00;Conselho de Administração;7.00;1200990.04;7.00;1000825.03;0.00;0.00;200165.01;INSS;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.938.574/0001-05;2023-12-31;6;135809;CONC RIO-TERESOPOLIS S.A.;2023-01-01;2023-12-31;5400000.00;Diretoria Estatutária;2.00;4199009.96;2.00;1325899.61;472537.25;0.00;371251.89;INSS E FGTS;1585407.20;0.00;0.00;443914.01;0.00;Bônus;0.00;0.00;0.00;
00.974.211/0001-25;2023-12-31;3;137419;LINHA AMARELA S.A. - LAMSA;2022-01-01;2022-12-31;158385.00;Conselho de Administração;3.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.974.211/0001-25;2023-12-31;3;137419;LINHA AMARELA S.A. - LAMSA;2022-01-01;2022-12-31;158385.00;Diretoria Estatutária;2.00;158385.00;1.00;126000.00;465.00;0.00;25200.00;Nota1: Valor na linha "Outros (INSS)" correspondente às contribuições para o INSS ônus do empregador e reconhecidas em resultado.Nota 2: Valores nas linhas "Número Total de Membros" e "Número Total de Membros Remunerados", quando aplicável, foram calculados de acordo com o Ofício Circular/CVM/SEP n.º 02/2020.Nota 3: Conforme termo de renúncia assinado pelos conselheiros, estes renunciaram qualquer remuneração pelo exercício da função. O número de membros de cada órgão foi apurado da forma indicada no item 10.2.13 b do Ofício-Circular/CVM/SEP/Nº 02/2020.;0.00;0.00;0.00;0.00;0.00;;6720.00;0.00;0.00;
00.974.211/0001-25;2023-12-31;3;137419;LINHA AMARELA S.A. - LAMSA;2021-01-01;2021-12-31;231829.01;Conselho de Administração;3.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.974.211/0001-25;2023-12-31;3;137419;LINHA AMARELA S.A. - LAMSA;2021-01-01;2021-12-31;231829.01;Diretoria Estatutária;2.00;231829.01;1.00;168000.00;40645.01;0.00;9744.00;Nota1: Valor na linha "Outros (INSS)" correspondente às contribuições para o INSS ônus do empregador e reconhecidas em resultado.Nota 2: Valores nas linhas "Número Total de Membros" e "Número Total de Membros Remunerados", quando aplicável, foram calculados de acordo com o Ofício Circular/CVM/SEP n.º 02/2020.Nota 3: Conforme termo de renúncia assinado pelos conselheiros, estes renunciaram qualquer remuneração pelo exercício da função. O número de membros de cada órgão foi apurado da forma indicada no item 10.2.13 b do Ofício-Circular/CVM/SEP/Nº 02/2020.;0.00;0.00;0.00;0.00;0.00;;13440.00;0.00;0.00;
00.974.211/0001-25;2023-12-31;3;137419;LINHA AMARELA S.A. - LAMSA;2020-01-01;2020-12-31;956246.54;Conselho de Administração;3.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.974.211/0001-25;2023-12-31;3;137419;LINHA AMARELA S.A. - LAMSA;2020-01-01;2020-12-31;956246.54;Diretoria Estatutária;2.00;956246.54;1.00;504000.00;121935.04;0.00;100800.00;Nota1: Valor na linha "Outros (INSS)" correspondente às contribuições para o INSS ônus do empregador e reconhecidas em resultado.Nota 2: Valores nas linhas "Número Total de Membros" e "Número Total de Membros Remunerados", quando aplicável, foram calculados de acordo com o Ofício Circular/CVM/SEP n.º 02/2020.Nota 3: Conforme termo de renúncia assinado pelos conselheiros, estes renunciaram qualquer remuneração pelo exercício da função. O número de membros de cada órgão foi apurado da forma indicada no item 10.2.13 b do Ofício-Circular/CVM/SEP/Nº 02/2020.;159732.74;0.00;0.00;29458.76;0.00;"Outros (INSS)" correspondente às contribuições para o INSS ônus do empregador e reconhecidas em resultado.;40320.00;0.00;0.00;
00.974.211/0001-25;2023-12-31;3;137419;LINHA AMARELA S.A. - LAMSA;2023-01-01;2023-12-31;1036740.00;Conselho de Administração;3.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.974.211/0001-25;2023-12-31;3;137419;LINHA AMARELA S.A. - LAMSA;2023-01-01;2023-12-31;1036740.00;Diretoria Estatutária;2.00;1036740.00;1.00;504000.00;1860.00;0.00;100800.00;Nota1: Valor na linha "Outros (INSS)" correspondente às contribuições para o INSS ônus do empregador e reconhecidas em resultado.Nota 2: Valores nas linhas "Número Total de Membros" e "Número Total de Membros Remunerados", quando aplicável, foram calculados de acordo com o Ofício Circular/CVM/SEP n.º 02/2020.Nota 3: Conforme termo de renúncia assinado pelos conselheiros, estes renunciaram qualquer remuneração pelo exercício da função. O número de membros de cada órgão foi apurado da forma indicada no item 10.2.13 b do Ofício-Circular/CVM/SEP/Nº 02/2020.;336000.00;0.00;0.00;67200.00;0.00;Valor na linha "Outros (INSS)" correspondente às contribuições para o INSS ônus do empregador e reconhecidas em resultado.;26880.00;0.00;0.00;
00.979.969/0001-56;2023-12-31;4;135607;CAIXA ADM DIV PUB ESTADUAL SA;2020-01-01;2020-12-31;99.60;Conselho de Administração;5.00;60.00;5.00;60.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.979.969/0001-56;2023-12-31;4;135607;CAIXA ADM DIV PUB ESTADUAL SA;2020-01-01;2020-12-31;99.60;Diretoria Estatutária;3.00;36.00;3.00;36.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.979.969/0001-56;2023-12-31;4;135607;CAIXA ADM DIV PUB ESTADUAL SA;2020-01-01;2020-12-31;99.60;Conselho Fiscal;3.00;3.60;3.00;3.60;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.979.969/0001-56;2023-12-31;4;135607;CAIXA ADM DIV PUB ESTADUAL SA;2022-01-01;2022-12-31;99.60;Conselho de Administração;5.00;60.00;5.00;60.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.979.969/0001-56;2023-12-31;4;135607;CAIXA ADM DIV PUB ESTADUAL SA;2022-01-01;2022-12-31;99.60;Diretoria Estatutária;3.00;36.00;3.00;36.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.979.969/0001-56;2023-12-31;4;135607;CAIXA ADM DIV PUB ESTADUAL SA;2022-01-01;2022-12-31;99.60;Conselho Fiscal;3.00;3.60;3.00;3.60;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.979.969/0001-56;2023-12-31;4;135607;CAIXA ADM DIV PUB ESTADUAL SA;2021-01-01;2021-12-31;99.60;Conselho de Administração;5.00;60.00;5.00;60.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.979.969/0001-56;2023-12-31;4;135607;CAIXA ADM DIV PUB ESTADUAL SA;2021-01-01;2021-12-31;99.60;Diretoria Estatutária;3.00;36.00;3.00;36.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.979.969/0001-56;2023-12-31;4;135607;CAIXA ADM DIV PUB ESTADUAL SA;2021-01-01;2021-12-31;99.60;Conselho Fiscal;3.00;3.60;3.00;3.60;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.979.969/0001-56;2023-12-31;4;135607;CAIXA ADM DIV PUB ESTADUAL SA;2023-01-01;2023-12-31;99.60;Conselho de Administração;5.00;60.00;5.00;60.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.979.969/0001-56;2023-12-31;4;135607;CAIXA ADM DIV PUB ESTADUAL SA;2023-01-01;2023-12-31;99.60;Diretoria Estatutária;3.00;36.00;3.00;36.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.979.969/0001-56;2023-12-31;4;135607;CAIXA ADM DIV PUB ESTADUAL SA;2023-01-01;2023-12-31;99.60;Conselho Fiscal;3.00;3.60;3.00;3.60;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2022-01-01;2022-12-31;60690230.55;Conselho de Administração;10.58;3830333.35;10.58;3408333.35;0.00;422000.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros do Conselho de Administração foi calculado em linha com a orientação divulgada pela área técnica da CVM.
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2022-01-01;2022-12-31;60690230.55;Diretoria Estatutária;6.83;56084897.20;6.83;6541549.96;1047081.32;0.00;0.00;;10139805.03;0.00;0.00;13095025.47;0.00;O valor descrito em "Outros" é composto por: (i) R$ 8.018.055,56 referente aos valores pontuais pagos em virtude de Retenção e Hiring Bônus, (ii) R$ 5.076.969,91 referente ao incentivo de longo prazo (Programa de Concessão de Ações Restritas), materializado pela Outorga de Bônus de longo prazo.;582790.67;3912159.40;20766485.35;O valor descrito em "Baseado em ações" é composto por: (i) R$ 16.152.655,40 do Programa Sócio Cielo - que se refere ao valor em ações com vesting de 48 meses e (ii) R$   4.613.829,95 do incentivo de longo prazo materializado pelo Programa de Concessão de Ações Restritas.O número de membros da Diretoria foi calculado em linha com a orientação divulgada pela área técnica da CVM.
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2022-01-01;2022-12-31;60690230.55;Conselho Fiscal;5.00;775000.00;5.00;775000.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros do Conselho Fiscal foi calculado em linha com a orientação divulgada pela área técnica da CVM.
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2021-01-01;2021-12-31;44822548.04;Conselho de Administração;10.58;2790041.03;10.58;2454041.03;0.00;336000.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros do Conselho de Administração foi calculado em linha com a orientação divulgada pela área técnica da CVM
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2021-01-01;2021-12-31;44822548.04;Diretoria Estatutária;6.50;41274843.25;6.50;7182126.52;1003339.75;0.00;0.00;;8201555.39;0.00;0.00;6422190.68;0.00;O valor descrito em "Outros" é composto por: (i) R$ 3.877.104,50 referente aos valores pontuais pagos em virtude de Retenção e Hiring Bônus, (ii) R$ 2.545.086,18 referente a concessão de Bônus de longo prazo.;784596.80;4652713.72;13028320.39;O valor descrito em "Baseado em ações" é composto por: (i) R$ 7.596.796,09 do Programa Sócio Cielo - que se refere ao valor em ações com vesting de 48 meses e (ii) R$ 5.431.521,30 do incentivo de longo prazo materializado pelo Programa de Concessão de Ações Restritas.
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2021-01-01;2021-12-31;44822548.04;Conselho Fiscal;5.00;757663.76;5.00;757663.76;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros do Conselho foi calculado em linha com a orientação divulgada pela área técnica da CVM.
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2020-01-01;2020-12-31;36417961.82;Conselho de Administração;10.42;3336772.00;10.42;2412637.78;0.00;420000.00;504134.22;Refere-se ao valor de encargos sociais (INSS);0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros do Conselho de Administração foi calculado em linha com a orientação divulgada pela área técnica da CVM
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2020-01-01;2020-12-31;36417961.82;Diretoria Estatutária;6.50;32394259.89;6.50;8479398.97;834024.29;0.00;1695879.79;Refere-se ao valor de encargos sociais (INSS);7247980.69;0.00;0.00;4448037.14;0.00;O valor descrito em "Outros" é composto por: (i) R$ 2.998.441,00 referente aos valores pontuais pagos em virtude de retenção ou contratação (Hiring Bônus) de executivos e (ii) R$ 1.446.148,55 de encargos sociais (INSS).;1064680.53;3051627.16;5572631.32;O valor descrito em "Baseado em ações" é composto por: (i) R$ 2.027.833 do Programa Sócio Cielo - que se refere ao valor em ações com vesting de 48 meses. As ações serão outorgadas somente se o Estatutário permanecer na Companhia ao final do período de vesting e (ii) R$ 3.544.798 do incentivo de longo prazo materializado pelo Programa de Concessão de Ações Restritas.O número de membros da Diretoria Estatutária da Companhia foi calculado em linha com a orientação divulgada pela área técnica da CVM.
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2020-01-01;2020-12-31;36417961.82;Conselho Fiscal;4.92;686929.93;4.92;592963.74;0.00;0.00;93966.19;Refere-se ao valor de encargos sociais (INSS);0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros do Conselho foi calculado em linha com a orientação divulgada pela área técnica da CVM.
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2023-01-01;2023-12-31;80512357.74;Conselho de Administração;12.00;6316800.00;12.00;5464800.00;0.00;852000.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2023-01-01;2023-12-31;80512357.74;Diretoria Estatutária;11.00;73389307.74;11.00;12091436.47;2211509.34;0.00;0.00;;13906930.72;0.00;0.00;9130510.59;0.00;O valor descrito em "Outros" é composto por: (i) R$ 3.147.222,22 referente aos valores pontuais pagos em virtude de Hiring Bônus e Retenção de Executivos, (ii) R$5.983.288,36 referente a concessão de Bônus de longo prazo.;1244913.35;2545342.97;32258664.30;O valor descrito em "Baseado em ações" é composto por: (i) R$ 26.344.408,18 do Programa Sócio Cielo - que se refere ao valor em ações com vesting de 48 meses. As ações serão entregues somente se o Estatutário permanecer na Companhia ao final do período de cada vesting e (ii) R$5.914.256,12 do incentivo de longo prazo materializado pelo Programa de Concessão de Ações Restritas.
01.027.058/0001-91;2023-12-31;14;137009;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2023-01-01;2023-12-31;80512357.74;Conselho Fiscal;5.00;806250.00;5.00;806250.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;2022-01-01;2022-12-31;58284909.66;Conselho de Administração;23.00;9949930.49;13.00;9949930.49;0.00;0.00;0.00;Valores referentes a encargos totais;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;Em conformidade com o OFÍCIO-CIRCULAR/CVM/SEP 2023, o número de membros total de cada órgão deverá corresponder à média anual do número de membros de cada órgão apurado mensalmente.
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;2022-01-01;2022-12-31;58284909.66;Diretoria Estatutária;10.42;47599979.17;10.42;21462494.69;3728978.76;0.00;0.00;Valores referentes a encargos totais;22408505.72;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;Em conformidade com o OFÍCIO-CIRCULAR/CVM/SEP 2023, o número de membros total de cada órgão deverá corresponder à média anual do número de membros de cada órgão apurado mensalmente
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;2022-01-01;2022-12-31;58284909.66;Conselho Fiscal;10.00;735000.00;5.00;735000.00;0.00;0.00;0.00;Valores referentes a encargos totais;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;Em conformidade com o OFÍCIO-CIRCULAR/CVM/SEP 2023, o número de membros total de cada órgão deverá corresponder à média anual do número de membros de cada órgão apurado mensalmente.
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;2021-01-01;2021-12-31;43444774.42;Conselho de Administração;20.83;9008333.45;13.00;9008333.45;0.00;0.00;0.00;Valores referentes a encargos totais;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;Em conformidade com o OFÍCIO-CIRCULAR/CVM/SEP 2023, o número de membros total de cada órgão deverá corresponder à média anual do número de membros de cada órgão apurado mensalmente.
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;2021-01-01;2021-12-31;43444774.42;Diretoria Estatutária;9.00;33819357.94;9.00;13026707.15;2769409.22;0.00;0.00;Valores referentes a encargos totais;17957608.21;0.00;0.00;0.00;0.00;;0.00;65633.36;0.00;Em conformidade com o OFÍCIO-CIRCULAR/CVM/SEP 2023, o número de membros total de cada órgão deverá corresponder à média anual do número de membros de cada órgão apurado mensalmente.
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;2021-01-01;2021-12-31;43444774.42;Conselho Fiscal;8.75;617083.03;4.75;617083.03;0.00;0.00;0.00;Valores referentes a encargos totais;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;Em conformidade com o OFÍCIO-CIRCULAR/CVM/SEP 2023, o número de membros total de cada órgão deverá corresponder à média anual do número de membros de cada órgão apurado mensalmente.
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;2020-01-01;2020-12-31;38537696.05;Conselho de Administração;21.00;7583683.18;13.00;7583683.18;0.00;0.00;0.00;Valores referentes a encargos totais;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;Em conformidade com o OFÍCIO-CIRCULAR/CVM/SEP 2023, o número de membros total de cada órgão deverá corresponder à média anual do número de membros de cada órgão apurado mensalmente.
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;2020-01-01;2020-12-31;38537696.05;Diretoria Estatutária;9.00;30438544.13;9.00;11922987.67;2435024.85;0.00;0.00;Valores referentes a encargos totais;15944723.00;0.00;0.00;0.00;0.00;;0.00;135808.61;0.00;Em conformidade com o OFÍCIO-CIRCULAR/CVM/SEP 2023, o número de membros total de cada órgão deverá corresponder à média anual do número de membros de cada órgão apurado mensalmente.
01.083.200/0001-18;2023-12-31;10;137710;NEOENERGIA S.A.;2020-01-01;2020-12-31;38537696.05;Conselho Fiscal;8.00;515468.74;4.00;515468.74;0.00;0.00;0.00;Valores referentes a encargos totais;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;Em conformidade com o OFÍCIO-CIRCULAR/CVM/SEP 2023, o número de membros total de cada órgão deverá corresponder à média anual do número de membros de cada órgão apurado mensalmente.
