CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Orgao_Administracao;Quantidade_Total_Membros;Quantidade_Membros_Remunerados;Diluicao_Potencial;Preco_Medio_Ponderado_Opcoes_Em_Aberto;Preco_Medio_Ponderado_Opcoes_Perdidas;Preco_Medio_Ponderado_Opcoes_Exercidas
08.078.847/0001-09;2023-12-31;8;137144;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;5.08;5.00;1.490000;3.89;5.11;0.00
08.078.847/0001-09;2023-12-31;8;137144;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;5.00;0.960000;3.89;0.00;0.00
08.078.847/0001-09;2023-12-31;8;137144;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;5.00;0.960000;3.89;0.00;0.00
08.159.965/0001-33;2023-12-31;9;134562;IGUA SANEAMENTO S.A.;2023-01-01;2023-12-31;Conselho de Administração;7.00;5.00;0.000000;0.00;0.00;0.00
08.159.965/0001-33;2023-12-31;9;134562;IGUA SANEAMENTO S.A.;2023-01-01;2023-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
08.159.965/0001-33;2023-12-31;9;134562;IGUA SANEAMENTO S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;6.00;6.00;1.800000;2.98;0.00;0.00
08.159.965/0001-33;2023-12-31;9;134562;IGUA SANEAMENTO S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.00;0.00;0.000000;0.00;0.00;0.00
08.159.965/0001-33;2023-12-31;9;134562;IGUA SANEAMENTO S.A.;2022-01-01;2022-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
08.159.965/0001-33;2023-12-31;9;134562;IGUA SANEAMENTO S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;6.00;6.00;0.260000;2.10;0.00;0.00
08.159.965/0001-33;2023-12-31;9;134562;IGUA SANEAMENTO S.A.;2021-01-01;2021-12-31;Conselho de Administração;7.00;0.00;0.000000;0.00;0.00;0.00
08.159.965/0001-33;2023-12-31;9;134562;IGUA SANEAMENTO S.A.;2021-01-01;2021-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
08.159.965/0001-33;2023-12-31;9;134562;IGUA SANEAMENTO S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;6.00;6.00;0.300000;5.80;5.80;0.00
08.159.965/0001-33;2023-12-31;9;134562;IGUA SANEAMENTO S.A.;2020-01-01;2020-12-31;Conselho de Administração;6.00;0.00;0.000000;0.00;0.00;0.00
08.159.965/0001-33;2023-12-31;9;134562;IGUA SANEAMENTO S.A.;2020-01-01;2020-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
08.159.965/0001-33;2023-12-31;9;134562;IGUA SANEAMENTO S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;5.00;5.00;0.300000;4.79;4.79;0.00
08.170.849/0001-15;2023-12-31;17;135989;DESKTOP S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;6.00;6.00;0.500000;5.32;0.00;5.48
08.170.849/0001-15;2023-12-31;17;135989;DESKTOP S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.08;5.08;1.000000;4.74;0.00;4.96
08.170.849/0001-15;2023-12-31;17;135989;DESKTOP S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;6.17;6.17;0.500000;0.00;0.00;4.60
08.294.224/0001-65;2023-12-31;12;137694;JHSF PARTICIPACOES S.A.;2021-01-01;2021-12-31;Conselho de Administração;9.00;2.00;0.000000;0.00;0.00;0.00
08.294.224/0001-65;2023-12-31;12;137694;JHSF PARTICIPACOES S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;5.00;5.00;0.320000;4.60;0.00;3.95
08.294.224/0001-65;2023-12-31;12;137694;JHSF PARTICIPACOES S.A.;2021-01-01;2021-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
08.294.224/0001-65;2023-12-31;12;137694;JHSF PARTICIPACOES S.A.;2022-01-01;2022-12-31;Conselho de Administração;8.00;0.00;0.000000;0.00;0.00;0.00
08.294.224/0001-65;2023-12-31;12;137694;JHSF PARTICIPACOES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;5.00;0.380000;5.82;0.00;4.61
08.294.224/0001-65;2023-12-31;12;137694;JHSF PARTICIPACOES S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
08.294.224/0001-65;2023-12-31;12;137694;JHSF PARTICIPACOES S.A.;2023-01-01;2023-12-31;Conselho de Administração;6.67;0.00;0.000000;0.00;0.00;0.00
08.294.224/0001-65;2023-12-31;12;137694;JHSF PARTICIPACOES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;6.00;6.00;0.000000;7.05;0.00;0.00
08.294.224/0001-65;2023-12-31;12;137694;JHSF PARTICIPACOES S.A.;2023-01-01;2023-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
08.343.492/0001-20;2023-12-31;19;137479;MRV ENGENHARIA E PARTICIPACOES S.A.;2022-01-01;2022-12-31;Conselho de Administração;6.92;1.00;3.230000;13.04;0.00;6.84
08.343.492/0001-20;2023-12-31;19;137479;MRV ENGENHARIA E PARTICIPACOES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;7.00;7.00;3.230000;13.04;0.00;6.84
08.343.492/0001-20;2023-12-31;19;137479;MRV ENGENHARIA E PARTICIPACOES S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;7.00;7.00;2.860000;13.23;0.00;6.66
08.343.492/0001-20;2023-12-31;19;137479;MRV ENGENHARIA E PARTICIPACOES S.A.;2021-01-01;2021-12-31;Conselho de Administração;7.58;1.00;2.860000;13.23;0.00;6.66
08.343.492/0001-20;2023-12-31;19;137479;MRV ENGENHARIA E PARTICIPACOES S.A.;2020-01-01;2020-12-31;Conselho de Administração;8.00;1.00;1.870000;13.07;0.00;10.53
08.343.492/0001-20;2023-12-31;19;137479;MRV ENGENHARIA E PARTICIPACOES S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;8.00;8.00;1.870000;13.07;0.00;10.53
08.343.492/0001-20;2023-12-31;19;137479;MRV ENGENHARIA E PARTICIPACOES S.A.;2023-01-01;2023-12-31;Conselho de Administração;7.00;1.00;3.200000;12.50;0.00;0.00
08.343.492/0001-20;2023-12-31;19;137479;MRV ENGENHARIA E PARTICIPACOES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;8.25;8.25;3.200000;12.50;0.00;0.00
08.397.078/0001-01;2023-12-31;6;136026;GSH CORP PARTICIPAÇÕES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.33;5.33;0.000000;0.00;0.00;0.00
08.402.943/0001-52;2023-12-31;3;137765;GUARARAPES CONFECCOES S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.33;5.00;0.000000;0.00;0.00;0.00
08.402.943/0001-52;2023-12-31;3;137765;GUARARAPES CONFECCOES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;3.00;3.00;0.050000;10.45;0.00;0.00
08.402.943/0001-52;2023-12-31;3;137765;GUARARAPES CONFECCOES S.A.;2022-01-01;2022-12-31;Conselho de Administração;6.00;5.00;0.000000;0.00;0.00;0.00
08.402.943/0001-52;2023-12-31;3;137765;GUARARAPES CONFECCOES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;2.25;1.33;0.000000;0.00;10.45;0.00
08.424.178/0001-71;2023-12-31;1;127296;TECBLU TECELAGEM BLUMENAU S.A.;2022-01-01;2022-12-31;Conselho de Administração;3.00;0.00;0.000000;0.00;0.00;0.00
08.467.115/0001-00;2023-12-31;10;137686;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;2023-01-01;2023-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
08.467.115/0001-00;2023-12-31;10;137686;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;2023-01-01;2023-12-31;Diretoria Estatutária;9.00;1.00;3.180000;23.59;22.94;22.94
08.467.115/0001-00;2023-12-31;10;137686;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;2023-01-01;2023-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
08.467.115/0001-00;2023-12-31;10;137686;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;2022-01-01;2022-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
08.467.115/0001-00;2023-12-31;10;137686;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;2022-01-01;2022-12-31;Diretoria Estatutária;6.00;1.00;3.180000;0.00;0.00;0.00
08.467.115/0001-00;2023-12-31;10;137686;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;2021-01-01;2021-12-31;Conselho de Administração;3.00;0.00;0.000000;0.00;0.00;0.00
08.467.115/0001-00;2023-12-31;10;137686;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;2021-01-01;2021-12-31;Diretoria Estatutária;5.00;0.00;0.000000;0.00;0.00;0.00
08.467.115/0001-00;2023-12-31;10;137686;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;2020-01-01;2020-12-31;Conselho de Administração;7.00;0.00;0.000000;0.00;0.00;0.00
08.467.115/0001-00;2023-12-31;10;137686;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;2020-01-01;2020-12-31;Diretoria Estatutária;5.00;0.00;0.000000;0.00;0.00;0.00
08.534.605/0001-74;2023-12-31;10;136613;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;2020-01-01;2020-12-31;Conselho de Administração;8.00;0.00;0.000000;0.00;0.00;0.00
08.534.605/0001-74;2023-12-31;10;136613;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;2020-01-01;2020-12-31;Conselho Fiscal;4.42;0.00;0.000000;0.00;0.00;0.00
08.534.605/0001-74;2023-12-31;10;136613;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;2020-01-01;2020-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
08.534.605/0001-74;2023-12-31;10;136613;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;2021-01-01;2021-12-31;Conselho de Administração;7.00;0.00;0.000000;0.00;0.00;0.00
08.534.605/0001-74;2023-12-31;10;136613;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;2021-01-01;2021-12-31;Conselho Fiscal;5.00;0.00;0.000000;0.00;0.00;0.00
08.534.605/0001-74;2023-12-31;10;136613;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;2021-01-01;2021-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
08.534.605/0001-74;2023-12-31;10;136613;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Conselho de Administração;5.83;0.00;0.000000;0.00;0.00;0.00
08.534.605/0001-74;2023-12-31;10;136613;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Conselho Fiscal;5.00;0.00;0.000000;0.00;0.00;0.00
08.534.605/0001-74;2023-12-31;10;136613;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Diretoria Estatutária;2.42;0.00;0.000000;0.00;0.00;0.00
08.534.605/0001-74;2023-12-31;10;136613;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;2023-01-01;2023-12-31;Conselho de Administração;6.75;0.00;0.000000;0.00;0.00;0.00
08.534.605/0001-74;2023-12-31;10;136613;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;2023-01-01;2023-12-31;Conselho Fiscal;5.00;0.00;0.000000;0.00;0.00;0.00
08.534.605/0001-74;2023-12-31;10;136613;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;2023-01-01;2023-12-31;Diretoria Estatutária;3.00;0.00;0.000000;0.00;0.00;0.00
08.560.444/0001-93;2023-12-31;6;135934;CIA CELG DE PARTICIPACOES - CELGPAR;2022-01-01;2022-12-31;Conselho de Administração;9.00;0.00;0.000000;0.00;0.00;0.00
08.560.444/0001-93;2023-12-31;6;135934;CIA CELG DE PARTICIPACOES - CELGPAR;2022-01-01;2022-12-31;Conselho Fiscal;7.00;0.00;0.000000;0.00;0.00;0.00
08.560.444/0001-93;2023-12-31;6;135934;CIA CELG DE PARTICIPACOES - CELGPAR;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;0.00;0.000000;0.00;0.00;0.00
08.613.550/0001-98;2023-12-31;9;135995;NEXPE PARTICIPAÇÕES S.A;2023-01-01;2023-12-31;Diretoria Estatutária;2.00;2.00;1.410000;0.00;0.00;0.00
08.613.550/0001-98;2023-12-31;9;135995;NEXPE PARTICIPAÇÕES S.A;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;2.00;1.140000;0.00;0.00;0.00
08.613.550/0001-98;2023-12-31;9;135995;NEXPE PARTICIPAÇÕES S.A;2021-01-01;2021-12-31;Diretoria Estatutária;2.00;2.00;1.250000;0.00;0.00;0.00
08.613.550/0001-98;2023-12-31;9;135995;NEXPE PARTICIPAÇÕES S.A;2020-01-01;2020-12-31;Diretoria Estatutária;2.00;2.00;0.000000;0.00;0.00;0.00
08.773.135/0001-00;2023-12-31;12;136052;2W ECOBANK S.A.;2022-01-01;2022-12-31;Conselho de Administração;8.00;3.00;1.994400;1.39;0.00;0.00
08.773.135/0001-00;2023-12-31;12;136052;2W ECOBANK S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;9.00;0.00;0.000000;0.00;0.00;0.00
08.773.135/0001-00;2023-12-31;12;136052;2W ECOBANK S.A.;2021-01-01;2021-12-31;Conselho de Administração;7.00;3.00;1.994400;0.00;0.00;0.00
08.773.135/0001-00;2023-12-31;12;136052;2W ECOBANK S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;9.00;0.00;0.000000;0.00;0.00;0.00
08.773.135/0001-00;2023-12-31;12;136052;2W ECOBANK S.A.;2021-01-01;2021-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
08.773.135/0001-00;2023-12-31;12;136052;2W ECOBANK S.A.;2023-01-01;2023-12-31;Conselho de Administração;9.00;3.00;1.994400;1.40;0.00;0.00
08.773.135/0001-00;2023-12-31;12;136052;2W ECOBANK S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;13.00;0.00;0.000000;0.00;0.00;0.00
08.773.135/0001-00;2023-12-31;12;136052;2W ECOBANK S.A.;2020-01-01;2020-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
08.801.621/0001-86;2023-12-31;9;135971;SYN PROP & TECH S.A.;2021-01-01;2021-12-31;Conselho de Administração;7.00;0.00;0.000000;0.00;0.00;0.00
08.801.621/0001-86;2023-12-31;9;135971;SYN PROP & TECH S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;4.00;0.00;0.000000;0.00;0.00;0.00
08.801.621/0001-86;2023-12-31;9;135971;SYN PROP & TECH S.A.;2021-01-01;2021-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
08.801.621/0001-86;2023-12-31;9;135971;SYN PROP & TECH S.A.;2020-01-01;2020-12-31;Conselho de Administração;7.00;0.00;0.000000;0.00;0.00;0.00
08.801.621/0001-86;2023-12-31;9;135971;SYN PROP & TECH S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;4.00;0.00;0.000000;0.00;0.00;0.00
08.801.621/0001-86;2023-12-31;9;135971;SYN PROP & TECH S.A.;2020-01-01;2020-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
08.801.621/0001-86;2023-12-31;9;135971;SYN PROP & TECH S.A.;2022-01-01;2022-12-31;Conselho de Administração;6.00;0.00;0.000000;0.00;0.00;0.00
08.801.621/0001-86;2023-12-31;9;135971;SYN PROP & TECH S.A.;2022-01-01;2022-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
08.801.621/0001-86;2023-12-31;9;135971;SYN PROP & TECH S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;4.00;0.00;0.000000;0.00;0.00;0.00
08.801.621/0001-86;2023-12-31;9;135971;SYN PROP & TECH S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
08.801.621/0001-86;2023-12-31;9;135971;SYN PROP & TECH S.A.;2023-01-01;2023-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
08.801.621/0001-86;2023-12-31;9;135971;SYN PROP & TECH S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;4.00;0.00;0.000000;0.00;0.00;0.00
08.807.432/0001-10;2023-12-31;18;137953;YDUQS PARTICIPACOES S.A.;2023-01-01;2023-12-31;Conselho de Administração;8.08;0.00;0.000000;0.00;0.00;0.00
08.807.432/0001-10;2023-12-31;18;137953;YDUQS PARTICIPACOES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;4.00;0.00;0.000000;0.00;0.00;0.00
08.807.432/0001-10;2023-12-31;18;137953;YDUQS PARTICIPACOES S.A.;2023-01-01;2023-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
08.807.432/0001-10;2023-12-31;18;137953;YDUQS PARTICIPACOES S.A.;2022-01-01;2022-12-31;Conselho de Administração;8.67;0.00;0.000000;0.00;0.00;0.00
08.807.432/0001-10;2023-12-31;18;137953;YDUQS PARTICIPACOES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;4.00;1.00;0.070000;14.18;14.18;0.00
08.807.432/0001-10;2023-12-31;18;137953;YDUQS PARTICIPACOES S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
08.807.432/0001-10;2023-12-31;18;137953;YDUQS PARTICIPACOES S.A.;2020-01-01;2020-12-31;Conselho de Administração;9.00;1.00;0.000000;14.89;14.89;0.00
08.807.432/0001-10;2023-12-31;18;137953;YDUQS PARTICIPACOES S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;4.00;2.00;0.100000;13.99;17.50;16.56
08.807.432/0001-10;2023-12-31;18;137953;YDUQS PARTICIPACOES S.A.;2020-01-01;2020-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
08.807.432/0001-10;2023-12-31;18;137953;YDUQS PARTICIPACOES S.A.;2021-01-01;2021-12-31;Conselho de Administração;8.33;0.00;0.000000;0.00;0.00;0.00
08.807.432/0001-10;2023-12-31;18;137953;YDUQS PARTICIPACOES S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;4.00;1.00;0.070000;14.53;0.00;18.63
08.807.432/0001-10;2023-12-31;18;137953;YDUQS PARTICIPACOES S.A.;2021-01-01;2021-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
08.811.643/0001-27;2023-12-31;6;137607;TRISUL S.A.;2022-01-01;2022-12-31;Conselho de Administração;6.00;0.00;0.000000;0.00;0.00;0.00
08.811.643/0001-27;2023-12-31;6;137607;TRISUL S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
09.041.168/0001-10;2023-12-31;9;136085;LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES;2023-01-01;2023-12-31;Diretoria Estatutária;3.00;3.00;2.200000;24.75;0.00;0.00
09.041.168/0001-10;2023-12-31;9;136085;LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;1.800000;18.99;0.00;0.00
09.041.168/0001-10;2023-12-31;9;136085;LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES;2021-01-01;2021-12-31;Diretoria Estatutária;3.00;3.00;1.440000;24.17;0.00;0.00
09.041.168/0001-10;2023-12-31;9;136085;LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES;2020-01-01;2020-12-31;Diretoria Estatutária;3.00;2.00;1.140000;21.62;0.00;0.00
09.042.817/0001-05;2023-12-31;17;138088;BEMOBI MOBILE TECH S.A.;2023-01-01;2023-12-31;Conselho de Administração;6.00;4.00;0.000000;0.00;0.00;0.00
09.042.817/0001-05;2023-12-31;17;138088;BEMOBI MOBILE TECH S.A.;2023-01-01;2023-12-31;Conselho Fiscal;3.00;3.00;0.000000;0.00;0.00;0.00
09.042.817/0001-05;2023-12-31;17;138088;BEMOBI MOBILE TECH S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;4.00;4.00;0.000000;0.00;0.00;0.00
09.042.817/0001-05;2023-12-31;17;138088;BEMOBI MOBILE TECH S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.30;3.30;0.000000;0.00;0.00;0.00
09.042.817/0001-05;2023-12-31;17;138088;BEMOBI MOBILE TECH S.A.;2022-01-01;2022-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
09.042.817/0001-05;2023-12-31;17;138088;BEMOBI MOBILE TECH S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;0.000000;0.00;0.00;0.00
09.042.817/0001-05;2023-12-31;17;138088;BEMOBI MOBILE TECH S.A.;2021-01-01;2021-12-31;Conselho de Administração;5.00;3.00;0.000000;0.00;0.00;0.00
09.042.817/0001-05;2023-12-31;17;138088;BEMOBI MOBILE TECH S.A.;2021-01-01;2021-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
09.042.817/0001-05;2023-12-31;17;138088;BEMOBI MOBILE TECH S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;2.00;2.00;0.000000;0.00;0.00;0.00
09.042.817/0001-05;2023-12-31;17;138088;BEMOBI MOBILE TECH S.A.;2020-01-01;2020-12-31;Conselho de Administração;1.25;0.00;0.000000;0.00;0.00;0.00
09.042.817/0001-05;2023-12-31;17;138088;BEMOBI MOBILE TECH S.A.;2020-01-01;2020-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
09.042.817/0001-05;2023-12-31;17;138088;BEMOBI MOBILE TECH S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;2.25;2.25;0.000000;6044.74;6044.74;0.00
09.053.134/0001-45;2023-12-31;5;133317;ELFA MEDICAMENTOS S.A.;2023-01-01;2023-12-31;Conselho de Administração;7.00;3.00;1.160000;2.68;0.00;0.00
09.053.134/0001-45;2023-12-31;5;133317;ELFA MEDICAMENTOS S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;5.00;0.000000;0.00;0.00;0.00
09.053.134/0001-45;2023-12-31;5;133317;ELFA MEDICAMENTOS S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.00;4.00;0.000000;0.00;0.00;0.00
09.053.134/0001-45;2023-12-31;5;133317;ELFA MEDICAMENTOS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;4.00;4.00;0.100000;5.45;3.98;0.00
09.053.134/0001-45;2023-12-31;5;133317;ELFA MEDICAMENTOS S.A.;2021-01-01;2021-12-31;Conselho de Administração;6.00;1.00;0.340000;1.49;0.00;0.00
09.053.134/0001-45;2023-12-31;5;133317;ELFA MEDICAMENTOS S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;7.00;7.00;0.460000;4.40;0.00;0.00
09.053.134/0001-45;2023-12-31;5;133317;ELFA MEDICAMENTOS S.A.;2020-01-01;2020-12-31;Conselho de Administração;7.00;1.00;0.000000;0.00;0.00;0.00
09.053.134/0001-45;2023-12-31;5;133317;ELFA MEDICAMENTOS S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;6.00;5.00;1.010000;3.09;4.91;0.00
09.112.685/0001-32;2023-12-31;6;136743;OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;2023-01-01;2023-12-31;Diretoria Estatutária;2.00;2.00;0.000000;0.00;0.00;0.00
09.112.685/0001-32;2023-12-31;6;136743;OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;2023-01-01;2023-12-31;Conselho de Administração;5.00;5.00;0.000000;0.00;0.00;0.00
09.112.685/0001-32;2023-12-31;6;136743;OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Conselho de Administração;4.33;4.33;0.000000;0.00;0.00;0.00
09.112.685/0001-32;2023-12-31;6;136743;OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;2.00;0.000000;0.00;0.00;0.00
09.112.685/0001-32;2023-12-31;6;136743;OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;2021-01-01;2021-12-31;Conselho de Administração;4.25;2.96;0.000000;0.00;0.00;0.00
09.112.685/0001-32;2023-12-31;6;136743;OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;2021-01-01;2021-12-31;Diretoria Estatutária;2.00;2.00;0.000000;0.00;0.00;0.00
09.112.685/0001-32;2023-12-31;6;136743;OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;2020-01-01;2020-12-31;Conselho de Administração;3.00;2.00;0.000000;0.00;0.00;0.00
09.112.685/0001-32;2023-12-31;6;136743;OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;2020-01-01;2020-12-31;Diretoria Estatutária;2.00;2.00;0.000000;0.00;0.00;0.00
09.114.805/0001-30;2023-12-31;13;137832;OCEANPACT SERVIÇOS MARITIMOS S.A.;2023-01-01;2023-12-31;Conselho de Administração;6.00;0.00;0.000000;0.00;0.00;0.00
09.114.805/0001-30;2023-12-31;13;137832;OCEANPACT SERVIÇOS MARITIMOS S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;8.83;0.00;0.000000;0.00;0.00;0.00
09.114.805/0001-30;2023-12-31;13;137832;OCEANPACT SERVIÇOS MARITIMOS S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.67;0.00;0.000000;0.00;0.00;0.00
09.114.805/0001-30;2023-12-31;13;137832;OCEANPACT SERVIÇOS MARITIMOS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;9.00;0.00;0.000000;0.00;0.00;0.00
09.114.805/0001-30;2023-12-31;13;137832;OCEANPACT SERVIÇOS MARITIMOS S.A.;2021-01-01;2021-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
09.114.805/0001-30;2023-12-31;13;137832;OCEANPACT SERVIÇOS MARITIMOS S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;9.00;0.00;0.000000;0.00;0.00;0.00
09.114.805/0001-30;2023-12-31;13;137832;OCEANPACT SERVIÇOS MARITIMOS S.A.;2020-01-01;2020-12-31;Conselho de Administração;3.20;0.00;0.000000;0.00;0.00;0.00
09.114.805/0001-30;2023-12-31;13;137832;OCEANPACT SERVIÇOS MARITIMOS S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;8.50;0.00;0.000000;0.00;0.00;0.00
09.229.201/0001-30;2023-12-31;7;135939;GPS PARTICIPAÇÕES E EMPREENDIMENTOS S.A.;2023-01-01;2023-12-31;Conselho de Administração;9.00;0.00;0.000000;0.00;0.00;0.00
09.229.201/0001-30;2023-12-31;7;135939;GPS PARTICIPAÇÕES E EMPREENDIMENTOS S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;6.00;6.00;0.250000;0.00;0.00;0.00
