CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Orgao_Administracao;Quantidade_Feminino;Quantidade_Masculino;Quantidade_Nao_Binario;Quantidade_Outros;Quantidade_Sem_Resposta;Nao_Aplicavel
04.031.213/0001-31;2023-12-31;3;130703;CACONDE PARTICIPACOES S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;S
04.031.213/0001-31;2023-12-31;3;130703;CACONDE PARTICIPACOES S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
04.031.213/0001-31;2023-12-31;3;130703;CACONDE PARTICIPACOES S.A.;Diretoria;0;2;0;0;0;N
04.032.433/0001-80;2023-12-31;8;134628;ATMA PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;Conselho de Administração - Efetivos;0;5;0;0;0;N
04.032.433/0001-80;2023-12-31;8;134628;ATMA PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;Conselho de Administração - Suplentes;0;0;0;0;0;S
04.032.433/0001-80;2023-12-31;8;134628;ATMA PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;Conselho Fiscal - Efetivos;0;3;0;0;0;N
04.032.433/0001-80;2023-12-31;8;134628;ATMA PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;Conselho Fiscal - Suplentes;0;3;0;0;0;N
04.032.433/0001-80;2023-12-31;8;134628;ATMA PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;Diretoria;1;2;0;0;0;N
04.038.763/0001-82;2023-12-31;3;130704;CAIANDA PARTICIPACOES S.A.;Conselho de Administração - Efetivos;0;3;0;0;0;N
04.038.763/0001-82;2023-12-31;3;130704;CAIANDA PARTICIPACOES S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
04.038.763/0001-82;2023-12-31;3;130704;CAIANDA PARTICIPACOES S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;S
04.038.763/0001-82;2023-12-31;3;130704;CAIANDA PARTICIPACOES S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
04.038.763/0001-82;2023-12-31;3;130704;CAIANDA PARTICIPACOES S.A.;Diretoria;0;2;0;0;0;N
04.065.053/0001-41;2023-12-31;2;133304;BRZ EMPREENDIMENTOS E CONSTRUÇÕES S.A.;Conselho de Administração - Efetivos;3;4;0;0;0;N
04.065.053/0001-41;2023-12-31;2;133304;BRZ EMPREENDIMENTOS E CONSTRUÇÕES S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
04.065.053/0001-41;2023-12-31;2;133304;BRZ EMPREENDIMENTOS E CONSTRUÇÕES S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;S
04.065.053/0001-41;2023-12-31;2;133304;BRZ EMPREENDIMENTOS E CONSTRUÇÕES S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
04.065.053/0001-41;2023-12-31;2;133304;BRZ EMPREENDIMENTOS E CONSTRUÇÕES S.A.;Diretoria;1;2;0;0;0;N
04.065.791/0001-99;2023-12-31;9;133013;SINQIA S.A.;Conselho de Administração - Efetivos;1;2;0;0;0;N
04.065.791/0001-99;2023-12-31;9;133013;SINQIA S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
04.065.791/0001-99;2023-12-31;9;133013;SINQIA S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;S
04.065.791/0001-99;2023-12-31;9;133013;SINQIA S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
04.065.791/0001-99;2023-12-31;9;133013;SINQIA S.A.;Diretoria;0;3;0;0;0;N
04.069.709/0001-02;2023-12-31;6;137072;BIONEXO S.A.;Conselho de Administração - Efetivos;1;9;0;0;0;N
04.069.709/0001-02;2023-12-31;6;137072;BIONEXO S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
04.069.709/0001-02;2023-12-31;6;137072;BIONEXO S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;S
04.069.709/0001-02;2023-12-31;6;137072;BIONEXO S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
04.069.709/0001-02;2023-12-31;6;137072;BIONEXO S.A.;Diretoria;0;3;0;0;0;N
04.089.570/0001-50;2023-12-31;3;136178;ÁGUAS GUARIROBA S.A;Conselho de Administração - Efetivos;0;3;0;0;0;N
04.089.570/0001-50;2023-12-31;3;136178;ÁGUAS GUARIROBA S.A;Conselho de Administração - Suplentes;0;0;0;0;0;S
04.089.570/0001-50;2023-12-31;3;136178;ÁGUAS GUARIROBA S.A;Conselho Fiscal - Efetivos;0;0;0;0;0;S
04.089.570/0001-50;2023-12-31;3;136178;ÁGUAS GUARIROBA S.A;Conselho Fiscal - Suplentes;0;0;0;0;0;S
04.089.570/0001-50;2023-12-31;3;136178;ÁGUAS GUARIROBA S.A;Diretoria;0;3;0;0;0;N
04.149.454/0001-80;2023-12-31;5;135938;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;Conselho de Administração - Efetivos;1;8;0;0;0;N
04.149.454/0001-80;2023-12-31;5;135938;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;Conselho de Administração - Suplentes;0;3;0;0;0;N
04.149.454/0001-80;2023-12-31;5;135938;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;Conselho Fiscal - Efetivos;0;3;0;0;0;N
04.149.454/0001-80;2023-12-31;5;135938;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;Conselho Fiscal - Suplentes;0;3;0;0;0;N
04.149.454/0001-80;2023-12-31;5;135938;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;Diretoria;1;4;0;0;0;N
04.172.213/0001-51;2023-12-31;5;135828;CIA PIRATININGA DE FORCA E LUZ;Conselho de Administração - Efetivos;0;1;0;0;1;N
04.172.213/0001-51;2023-12-31;5;135828;CIA PIRATININGA DE FORCA E LUZ;Conselho de Administração - Suplentes;0;0;0;0;0;S
04.172.213/0001-51;2023-12-31;5;135828;CIA PIRATININGA DE FORCA E LUZ;Conselho Fiscal - Efetivos;0;0;0;0;0;S
04.172.213/0001-51;2023-12-31;5;135828;CIA PIRATININGA DE FORCA E LUZ;Conselho Fiscal - Suplentes;0;0;0;0;0;S
04.172.213/0001-51;2023-12-31;5;135828;CIA PIRATININGA DE FORCA E LUZ;Diretoria;1;7;0;0;1;N
04.200.649/0001-07;2023-12-31;14;130507;COMPANHIA PROVINCIA DE SECURITIZACAO;Conselho de Administração - Efetivos;2;1;0;0;0;N
04.200.649/0001-07;2023-12-31;14;130507;COMPANHIA PROVINCIA DE SECURITIZACAO;Conselho de Administração - Suplentes;0;0;0;0;0;S
04.200.649/0001-07;2023-12-31;14;130507;COMPANHIA PROVINCIA DE SECURITIZACAO;Conselho Fiscal - Efetivos;0;0;0;0;0;S
04.200.649/0001-07;2023-12-31;14;130507;COMPANHIA PROVINCIA DE SECURITIZACAO;Conselho Fiscal - Suplentes;0;0;0;0;0;S
04.200.649/0001-07;2023-12-31;14;130507;COMPANHIA PROVINCIA DE SECURITIZACAO;Diretoria;3;1;0;0;0;N
04.212.396/0001-91;2023-12-31;6;136490;AGASUS S.A.;Conselho de Administração - Efetivos;0;4;0;0;0;N
04.212.396/0001-91;2023-12-31;6;136490;AGASUS S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
04.212.396/0001-91;2023-12-31;6;136490;AGASUS S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;S
04.212.396/0001-91;2023-12-31;6;136490;AGASUS S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
04.212.396/0001-91;2023-12-31;6;136490;AGASUS S.A.;Diretoria;0;3;0;0;0;N
04.233.319/0001-18;2023-12-31;7;135913;NCF PARTICIPAÇÕES S/A;Conselho de Administração - Efetivos;0;0;0;0;0;S
04.233.319/0001-18;2023-12-31;7;135913;NCF PARTICIPAÇÕES S/A;Conselho de Administração - Suplentes;0;0;0;0;0;S
04.233.319/0001-18;2023-12-31;7;135913;NCF PARTICIPAÇÕES S/A;Conselho Fiscal - Efetivos;0;0;0;0;0;S
04.233.319/0001-18;2023-12-31;7;135913;NCF PARTICIPAÇÕES S/A;Conselho Fiscal - Suplentes;0;0;0;0;0;S
04.233.319/0001-18;2023-12-31;7;135913;NCF PARTICIPAÇÕES S/A;Diretoria;0;0;0;0;0;S
04.368.865/0001-66;2023-12-31;5;136813;LIGGA TELECOMUNICAÇÕES S.A.;Conselho de Administração - Efetivos;0;5;0;0;0;N
04.368.865/0001-66;2023-12-31;5;136813;LIGGA TELECOMUNICAÇÕES S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
04.368.865/0001-66;2023-12-31;5;136813;LIGGA TELECOMUNICAÇÕES S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;S
04.368.865/0001-66;2023-12-31;5;136813;LIGGA TELECOMUNICAÇÕES S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
04.368.865/0001-66;2023-12-31;5;136813;LIGGA TELECOMUNICAÇÕES S.A.;Diretoria;2;4;0;0;0;N
04.368.898/0001-06;2023-12-31;5;136015;COPEL DISTRIBUIÇÃO S.A.;Conselho de Administração - Efetivos;0;0;0;0;3;N
04.368.898/0001-06;2023-12-31;5;136015;COPEL DISTRIBUIÇÃO S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
04.368.898/0001-06;2023-12-31;5;136015;COPEL DISTRIBUIÇÃO S.A.;Conselho Fiscal - Efetivos;0;0;0;0;6;N
04.368.898/0001-06;2023-12-31;5;136015;COPEL DISTRIBUIÇÃO S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
04.368.898/0001-06;2023-12-31;5;136015;COPEL DISTRIBUIÇÃO S.A.;Diretoria;0;0;0;0;4;N
04.370.282/0001-70;2023-12-31;7;136011;COPEL GERAÇÃO E TRANSMISSÃO S.A.;Conselho de Administração - Efetivos;0;0;0;0;4;N
04.370.282/0001-70;2023-12-31;7;136011;COPEL GERAÇÃO E TRANSMISSÃO S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
04.370.282/0001-70;2023-12-31;7;136011;COPEL GERAÇÃO E TRANSMISSÃO S.A.;Conselho Fiscal - Efetivos;0;0;0;0;3;N
04.370.282/0001-70;2023-12-31;7;136011;COPEL GERAÇÃO E TRANSMISSÃO S.A.;Conselho Fiscal - Suplentes;0;0;0;0;3;N
04.370.282/0001-70;2023-12-31;7;136011;COPEL GERAÇÃO E TRANSMISSÃO S.A.;Diretoria;0;0;0;0;6;N
04.423.567/0001-21;2023-12-31;13;136750;ENEVA S.A;Conselho de Administração - Efetivos;0;0;0;0;7;N
04.423.567/0001-21;2023-12-31;13;136750;ENEVA S.A;Conselho de Administração - Suplentes;0;0;0;0;0;S
04.423.567/0001-21;2023-12-31;13;136750;ENEVA S.A;Conselho Fiscal - Efetivos;0;0;0;0;0;S
04.423.567/0001-21;2023-12-31;13;136750;ENEVA S.A;Conselho Fiscal - Suplentes;0;0;0;0;0;S
04.423.567/0001-21;2023-12-31;13;136750;ENEVA S.A;Diretoria;0;0;0;0;4;N
04.437.534/0001-30;2023-12-31;2;133495;LOCAMÉRICA RENT-A-CAR S.A.;Conselho de Administração - Efetivos;0;3;0;0;0;N
04.437.534/0001-30;2023-12-31;2;133495;LOCAMÉRICA RENT-A-CAR S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
04.437.534/0001-30;2023-12-31;2;133495;LOCAMÉRICA RENT-A-CAR S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;S
04.437.534/0001-30;2023-12-31;2;133495;LOCAMÉRICA RENT-A-CAR S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
04.437.534/0001-30;2023-12-31;2;133495;LOCAMÉRICA RENT-A-CAR S.A.;Diretoria;0;4;0;0;0;N
04.739.720/0001-24;2023-12-31;7;132182;USINA TERMELÉTRICA PAMPA SUL S.A.;Conselho de Administração - Efetivos;0;4;0;0;0;N
04.739.720/0001-24;2023-12-31;7;132182;USINA TERMELÉTRICA PAMPA SUL S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
04.739.720/0001-24;2023-12-31;7;132182;USINA TERMELÉTRICA PAMPA SUL S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;S
04.739.720/0001-24;2023-12-31;7;132182;USINA TERMELÉTRICA PAMPA SUL S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
04.739.720/0001-24;2023-12-31;7;132182;USINA TERMELÉTRICA PAMPA SUL S.A.;Diretoria;0;4;0;0;0;N
04.752.991/0001-10;2023-12-31;19;137854;BIOMM S.A.;Conselho de Administração - Efetivos;0;7;0;0;0;N
04.752.991/0001-10;2023-12-31;19;137854;BIOMM S.A.;Conselho de Administração - Suplentes;3;4;0;0;0;N
04.752.991/0001-10;2023-12-31;19;137854;BIOMM S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;S
04.752.991/0001-10;2023-12-31;19;137854;BIOMM S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
04.752.991/0001-10;2023-12-31;19;137854;BIOMM S.A.;Diretoria;1;3;0;0;0;N
04.821.041/0001-08;2023-12-31;5;137910;METALFRIO SOLUTIONS S.A.;Conselho de Administração - Efetivos;0;6;0;0;0;N
04.821.041/0001-08;2023-12-31;5;137910;METALFRIO SOLUTIONS S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
04.821.041/0001-08;2023-12-31;5;137910;METALFRIO SOLUTIONS S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;S
04.821.041/0001-08;2023-12-31;5;137910;METALFRIO SOLUTIONS S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
04.821.041/0001-08;2023-12-31;5;137910;METALFRIO SOLUTIONS S.A.;Diretoria;0;3;0;0;0;N
04.895.728/0001-80;2023-12-31;10;138025;EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.;Conselho de Administração - Efetivos;0;0;0;0;6;N
04.895.728/0001-80;2023-12-31;10;138025;EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
04.895.728/0001-80;2023-12-31;10;138025;EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.;Conselho Fiscal - Efetivos;0;0;0;0;5;N
04.895.728/0001-80;2023-12-31;10;138025;EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.;Conselho Fiscal - Suplentes;0;0;0;0;5;N
04.895.728/0001-80;2023-12-31;10;138025;EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.;Diretoria;0;0;0;0;9;N
04.902.979/0001-44;2023-12-31;9;134451;BCO AMAZONIA S.A.;Conselho de Administração - Efetivos;1;5;0;0;0;N
04.902.979/0001-44;2023-12-31;9;134451;BCO AMAZONIA S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
04.902.979/0001-44;2023-12-31;9;134451;BCO AMAZONIA S.A.;Conselho Fiscal - Efetivos;1;3;0;0;0;N
04.902.979/0001-44;2023-12-31;9;134451;BCO AMAZONIA S.A.;Conselho Fiscal - Suplentes;2;1;0;0;0;N
04.902.979/0001-44;2023-12-31;9;134451;BCO AMAZONIA S.A.;Diretoria;1;5;0;0;0;N
04.912.242/0001-02;2023-12-31;1;127238;PORTUENSE FERRAGENS S/A;Conselho de Administração - Efetivos;1;2;0;0;0;N
04.912.242/0001-02;2023-12-31;1;127238;PORTUENSE FERRAGENS S/A;Conselho de Administração - Suplentes;0;0;0;0;0;N
04.912.242/0001-02;2023-12-31;1;127238;PORTUENSE FERRAGENS S/A;Conselho Fiscal - Efetivos;0;0;0;0;0;N
04.912.242/0001-02;2023-12-31;1;127238;PORTUENSE FERRAGENS S/A;Conselho Fiscal - Suplentes;0;0;0;0;0;N
04.912.242/0001-02;2023-12-31;1;127238;PORTUENSE FERRAGENS S/A;Diretoria;0;5;0;0;0;N
04.913.711/0001-08;2023-12-31;12;137750;BCO ESTADO DO PARA S.A.;Conselho de Administração - Efetivos;2;6;0;0;0;N
04.913.711/0001-08;2023-12-31;12;137750;BCO ESTADO DO PARA S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
04.913.711/0001-08;2023-12-31;12;137750;BCO ESTADO DO PARA S.A.;Conselho Fiscal - Efetivos;0;3;0;0;0;N
04.913.711/0001-08;2023-12-31;12;137750;BCO ESTADO DO PARA S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
04.913.711/0001-08;2023-12-31;12;137750;BCO ESTADO DO PARA S.A.;Diretoria;2;3;0;0;0;N
04.972.092/0001-22;2023-12-31;3;134391;GRUPO FARTURA DE HORTIFRUT S.A.;Conselho de Administração - Efetivos;1;6;0;0;0;N
04.972.092/0001-22;2023-12-31;3;134391;GRUPO FARTURA DE HORTIFRUT S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
04.972.092/0001-22;2023-12-31;3;134391;GRUPO FARTURA DE HORTIFRUT S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;S
04.972.092/0001-22;2023-12-31;3;134391;GRUPO FARTURA DE HORTIFRUT S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
04.972.092/0001-22;2023-12-31;3;134391;GRUPO FARTURA DE HORTIFRUT S.A.;Diretoria;2;13;0;0;0;N
04.986.320/0001-13;2023-12-31;7;137911;SER EDUCACIONAL S.A.;Conselho de Administração - Efetivos;1;5;0;0;0;N
04.986.320/0001-13;2023-12-31;7;137911;SER EDUCACIONAL S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
04.986.320/0001-13;2023-12-31;7;137911;SER EDUCACIONAL S.A.;Conselho Fiscal - Efetivos;0;3;0;0;0;N
04.986.320/0001-13;2023-12-31;7;137911;SER EDUCACIONAL S.A.;Conselho Fiscal - Suplentes;0;3;0;0;0;N
04.986.320/0001-13;2023-12-31;7;137911;SER EDUCACIONAL S.A.;Diretoria;1;4;0;0;0;N
04.992.714/0001-84;2023-12-31;10;136720;NOVA TRANSPORTADORA DO SUDESTE S.A. - NTS;Conselho de Administração - Efetivos;2;7;0;0;4;N
04.992.714/0001-84;2023-12-31;10;136720;NOVA TRANSPORTADORA DO SUDESTE S.A. - NTS;Conselho de Administração - Suplentes;0;0;0;0;0;S
04.992.714/0001-84;2023-12-31;10;136720;NOVA TRANSPORTADORA DO SUDESTE S.A. - NTS;Conselho Fiscal - Efetivos;1;2;0;0;3;N
04.992.714/0001-84;2023-12-31;10;136720;NOVA TRANSPORTADORA DO SUDESTE S.A. - NTS;Conselho Fiscal - Suplentes;0;0;0;0;0;S
04.992.714/0001-84;2023-12-31;10;136720;NOVA TRANSPORTADORA DO SUDESTE S.A. - NTS;Diretoria;0;3;0;0;0;N
05.197.443/0001-38;2023-12-31;18;137749;HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.;Conselho de Administração - Efetivos;1;8;0;0;0;N
05.197.443/0001-38;2023-12-31;18;137749;HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
05.197.443/0001-38;2023-12-31;18;137749;HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;S
05.197.443/0001-38;2023-12-31;18;137749;HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
05.197.443/0001-38;2023-12-31;18;137749;HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.;Diretoria;0;4;0;0;0;N
05.303.439/0001-07;2023-12-31;8;133343;UNIGEL PARTICIPAÇÕES S.A.;Conselho de Administração - Efetivos;0;3;0;0;0;N
05.303.439/0001-07;2023-12-31;8;133343;UNIGEL PARTICIPAÇÕES S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
05.303.439/0001-07;2023-12-31;8;133343;UNIGEL PARTICIPAÇÕES S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;S
05.303.439/0001-07;2023-12-31;8;133343;UNIGEL PARTICIPAÇÕES S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
05.303.439/0001-07;2023-12-31;8;133343;UNIGEL PARTICIPAÇÕES S.A.;Diretoria;0;3;0;0;0;N
05.336.882/0001-84;2023-12-31;1;127751;CACHOEIRA PAULISTA TRANSMISSORA ENERGIA S.A.;Conselho de Administração - Efetivos;0;0;0;0;2;N
05.336.882/0001-84;2023-12-31;1;127751;CACHOEIRA PAULISTA TRANSMISSORA ENERGIA S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
05.336.882/0001-84;2023-12-31;1;127751;CACHOEIRA PAULISTA TRANSMISSORA ENERGIA S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;S
05.336.882/0001-84;2023-12-31;1;127751;CACHOEIRA PAULISTA TRANSMISSORA ENERGIA S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
05.336.882/0001-84;2023-12-31;1;127751;CACHOEIRA PAULISTA TRANSMISSORA ENERGIA S.A.;Diretoria;0;0;0;0;3;N
05.347.060/0001-07;2023-12-31;4;135611;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;Conselho de Administração - Efetivos;1;5;0;0;0;N
05.347.060/0001-07;2023-12-31;4;135611;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;Conselho de Administração - Suplentes;1;1;0;0;0;N
05.347.060/0001-07;2023-12-31;4;135611;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;S
05.347.060/0001-07;2023-12-31;4;135611;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
05.347.060/0001-07;2023-12-31;4;135611;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;Diretoria;1;4;0;0;0;N
05.878.397/0001-32;2023-12-31;12;137501;ALLOS S.A.;Conselho de Administração - Efetivos;2;7;0;0;0;N
05.878.397/0001-32;2023-12-31;12;137501;ALLOS S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
05.878.397/0001-32;2023-12-31;12;137501;ALLOS S.A.;Conselho Fiscal - Efetivos;0;3;0;0;0;N
05.878.397/0001-32;2023-12-31;12;137501;ALLOS S.A.;Conselho Fiscal - Suplentes;2;1;0;0;0;N
05.878.397/0001-32;2023-12-31;12;137501;ALLOS S.A.;Diretoria;3;7;0;0;0;N
05.917.486/0001-40;2023-12-31;6;135924;LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.;Conselho de Administração - Efetivos;0;5;0;0;0;N
05.917.486/0001-40;2023-12-31;6;135924;LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
05.917.486/0001-40;2023-12-31;6;135924;LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;S
05.917.486/0001-40;2023-12-31;6;135924;LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
05.917.486/0001-40;2023-12-31;6;135924;LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.;Diretoria;0;2;0;0;0;N
06.047.087/0001-39;2023-12-31;8;137033;REDE D'OR SÃO LUIZ S.A.;Conselho de Administração - Efetivos;1;6;0;0;0;N
06.047.087/0001-39;2023-12-31;8;137033;REDE D'OR SÃO LUIZ S.A.;Conselho de Administração - Suplentes;2;5;0;0;0;N
06.047.087/0001-39;2023-12-31;8;137033;REDE D'OR SÃO LUIZ S.A.;Conselho Fiscal - Efetivos;0;3;0;0;0;N
06.047.087/0001-39;2023-12-31;8;137033;REDE D'OR SÃO LUIZ S.A.;Conselho Fiscal - Suplentes;0;3;0;0;0;N
06.047.087/0001-39;2023-12-31;8;137033;REDE D'OR SÃO LUIZ S.A.;Diretoria;1;6;0;0;0;N
06.057.223/0001-71;2023-12-31;23;137036;SENDAS DISTRIBUIDORA S.A.;Conselho de Administração - Efetivos;2;7;0;0;0;N
06.057.223/0001-71;2023-12-31;23;137036;SENDAS DISTRIBUIDORA S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
06.057.223/0001-71;2023-12-31;23;137036;SENDAS DISTRIBUIDORA S.A.;Conselho Fiscal - Efetivos;1;2;0;0;0;N
06.057.223/0001-71;2023-12-31;23;137036;SENDAS DISTRIBUIDORA S.A.;Conselho Fiscal - Suplentes;0;3;0;0;0;N
06.057.223/0001-71;2023-12-31;23;137036;SENDAS DISTRIBUIDORA S.A.;Diretoria;2;3;0;0;0;N
06.164.253/0001-87;2023-12-31;17;137756;GOL LINHAS AEREAS INTELIGENTES S.A.;Conselho de Administração - Efetivos;1;8;0;0;0;N
06.164.253/0001-87;2023-12-31;17;137756;GOL LINHAS AEREAS INTELIGENTES S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
06.164.253/0001-87;2023-12-31;17;137756;GOL LINHAS AEREAS INTELIGENTES S.A.;Conselho Fiscal - Efetivos;1;2;0;0;0;N
06.164.253/0001-87;2023-12-31;17;137756;GOL LINHAS AEREAS INTELIGENTES S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
06.164.253/0001-87;2023-12-31;17;137756;GOL LINHAS AEREAS INTELIGENTES S.A.;Diretoria;1;2;0;0;0;N
06.272.793/0001-84;2023-12-31;8;136841;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;Conselho de Administração - Efetivos;0;0;0;0;7;N
06.272.793/0001-84;2023-12-31;8;136841;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
06.272.793/0001-84;2023-12-31;8;136841;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;Conselho Fiscal - Efetivos;0;0;0;0;6;N
06.272.793/0001-84;2023-12-31;8;136841;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;Conselho Fiscal - Suplentes;0;0;0;0;6;N
06.272.793/0001-84;2023-12-31;8;136841;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;Diretoria;0;0;0;0;6;N
06.347.409/0001-65;2023-12-31;2;133237;SBF COMÉRCIO DE PRODUTOS ESPORTIVOS S.A.;Conselho de Administração - Efetivos;1;6;0;0;0;N
06.347.409/0001-65;2023-12-31;2;133237;SBF COMÉRCIO DE PRODUTOS ESPORTIVOS S.A.;Conselho de Administração - Suplentes;2;3;0;0;0;N
06.347.409/0001-65;2023-12-31;2;133237;SBF COMÉRCIO DE PRODUTOS ESPORTIVOS S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;S
06.347.409/0001-65;2023-12-31;2;133237;SBF COMÉRCIO DE PRODUTOS ESPORTIVOS S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;S
06.347.409/0001-65;2023-12-31;2;133237;SBF COMÉRCIO DE PRODUTOS ESPORTIVOS S.A.;Diretoria;0;3;0;0;0;N
06.626.253/0001-51;2023-12-31;16;137001;EMPREENDIMENTOS PAGUE MENOS S.A.;Conselho de Administração - Efetivos;3;6;0;0;0;N
06.626.253/0001-51;2023-12-31;16;137001;EMPREENDIMENTOS PAGUE MENOS S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;S
06.626.253/0001-51;2023-12-31;16;137001;EMPREENDIMENTOS PAGUE MENOS S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;S
