CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Orgao_Administracao;Quantidade_Total_Membros;Quantidade_Membros_Remunerados;Quantidade_Acoes;Preco_Medio_Ponderado_Aquisicao;Preco_Medio_Ponderado_Mercado;Valor_Diferenca_Aquisicao_Mercado
03.983.431/0001-03;2023-12-31;6;135695;EDP - ENERGIAS DO BRASIL S.A.;2022-01-01;2022-12-31;Conselho de Administração;9.00;4.00;0;0.00;0.00;0.00
03.983.431/0001-03;2023-12-31;6;135695;EDP - ENERGIAS DO BRASIL S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;4.00;121382;16.02;20.75;-574136.86
03.983.431/0001-03;2023-12-31;6;135695;EDP - ENERGIAS DO BRASIL S.A.;2021-01-01;2021-12-31;Conselho de Administração;9.00;4.00;0;0.00;0.00;0.00
03.983.431/0001-03;2023-12-31;6;135695;EDP - ENERGIAS DO BRASIL S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;6.00;6.00;44000;13.60;17.64;-177760.00
03.983.431/0001-03;2023-12-31;6;135695;EDP - ENERGIAS DO BRASIL S.A.;2020-01-01;2020-12-31;Conselho de Administração;8.00;0.00;0;0.00;0.00;0.00
03.983.431/0001-03;2023-12-31;6;135695;EDP - ENERGIAS DO BRASIL S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;5.00;5.00;0;0.00;0.00;0.00
04.065.791/0001-99;2023-12-31;9;133013;SINQIA S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
04.065.791/0001-99;2023-12-31;9;133013;SINQIA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.08;5.08;144018;17.52;20.12;-374446.80
04.065.791/0001-99;2023-12-31;9;133013;SINQIA S.A.;2021-01-01;2021-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
04.065.791/0001-99;2023-12-31;9;133013;SINQIA S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;4.67;4.67;22021;22.26;23.52;-27746.46
04.065.791/0001-99;2023-12-31;9;133013;SINQIA S.A.;2020-01-01;2020-12-31;Conselho de Administração;7.00;7.00;0;0.00;0.00;0.00
04.065.791/0001-99;2023-12-31;9;133013;SINQIA S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;4.00;4.00;35179;21.90;24.72;-99204.78
04.069.709/0001-02;2023-12-31;6;137072;BIONEXO S.A.;2023-01-01;2023-12-31;Conselho de Administração;8.00;0.00;0;0.00;0.00;0.00
04.069.709/0001-02;2023-12-31;6;137072;BIONEXO S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;3.00;3.00;2864769;5.88;0.00;16844841.72
04.069.709/0001-02;2023-12-31;6;137072;BIONEXO S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.91;0.00;0;0.00;0.00;0.00
04.069.709/0001-02;2023-12-31;6;137072;BIONEXO S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;2864769;5.40;0.00;15469752.60
04.423.567/0001-21;2023-12-31;13;136750;ENEVA S.A;2022-01-01;2022-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
04.423.567/0001-21;2023-12-31;13;136750;ENEVA S.A;2022-01-01;2022-12-31;Diretoria Estatutária;4.00;4.00;1350150;7.47;13.36;-7952383.50
04.423.567/0001-21;2023-12-31;13;136750;ENEVA S.A;2022-01-01;2022-12-31;Conselho Fiscal;0.00;0.00;0;0.00;0.00;0.00
04.423.567/0001-21;2023-12-31;13;136750;ENEVA S.A;2021-01-01;2021-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
04.423.567/0001-21;2023-12-31;13;136750;ENEVA S.A;2021-01-01;2021-12-31;Diretoria Estatutária;4.00;2.00;1527690;4.82;17.04;-18668371.80
04.423.567/0001-21;2023-12-31;13;136750;ENEVA S.A;2021-01-01;2021-12-31;Conselho Fiscal;0.00;0.00;0;0.00;0.00;0.00
04.423.567/0001-21;2023-12-31;13;136750;ENEVA S.A;2020-01-01;2020-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
04.423.567/0001-21;2023-12-31;13;136750;ENEVA S.A;2020-01-01;2020-12-31;Diretoria Estatutária;4.00;4.00;0;0.00;0.00;0.00
04.423.567/0001-21;2023-12-31;13;136750;ENEVA S.A;2020-01-01;2020-12-31;Conselho Fiscal;0.00;0.00;0;0.00;0.00;0.00
04.821.041/0001-08;2023-12-31;5;137910;METALFRIO SOLUTIONS S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.00;5.00;0;0.00;0.00;0.00
04.821.041/0001-08;2023-12-31;5;137910;METALFRIO SOLUTIONS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;4.00;4.00;0;0.00;0.00;0.00
04.902.979/0001-44;2023-12-31;9;134451;BCO AMAZONIA S.A.;2021-01-01;2021-12-31;Conselho de Administração;7.00;7.00;0;0.00;0.00;0.00
04.902.979/0001-44;2023-12-31;9;134451;BCO AMAZONIA S.A.;2020-01-01;2020-12-31;Conselho de Administração;7.00;7.00;0;0.00;0.00;0.00
04.902.979/0001-44;2023-12-31;9;134451;BCO AMAZONIA S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.00;7.00;0;0.00;0.00;0.00
04.912.242/0001-02;2023-12-31;1;127238;PORTUENSE FERRAGENS S/A;2022-01-01;2022-12-31;Conselho de Administração;3.00;3.00;0;0.00;0.00;0.00
04.912.242/0001-02;2023-12-31;1;127238;PORTUENSE FERRAGENS S/A;2022-01-01;2022-12-31;Diretoria Estatutária;4.00;4.00;0;0.00;0.00;0.00
04.986.320/0001-13;2023-12-31;7;137911;SER EDUCACIONAL S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.00;3.00;0;0.00;0.00;0.00
04.986.320/0001-13;2023-12-31;7;137911;SER EDUCACIONAL S.A.;2022-01-01;2022-12-31;Conselho de Administração;6.00;6.00;0;0.00;0.00;0.00
04.986.320/0001-13;2023-12-31;7;137911;SER EDUCACIONAL S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;5.00;0;0.00;0.00;0.00
04.986.320/0001-13;2023-12-31;7;137911;SER EDUCACIONAL S.A.;2021-01-01;2021-12-31;Conselho de Administração;6.00;6.00;0;0.00;0.00;0.00
04.986.320/0001-13;2023-12-31;7;137911;SER EDUCACIONAL S.A.;2021-01-01;2021-12-31;Conselho Fiscal;3.00;3.00;0;0.00;0.00;0.00
04.986.320/0001-13;2023-12-31;7;137911;SER EDUCACIONAL S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;5.00;5.00;0;0.00;0.00;0.00
04.986.320/0001-13;2023-12-31;7;137911;SER EDUCACIONAL S.A.;2020-01-01;2020-12-31;Conselho de Administração;6.00;6.00;0;0.00;0.00;0.00
04.986.320/0001-13;2023-12-31;7;137911;SER EDUCACIONAL S.A.;2020-01-01;2020-12-31;Conselho Fiscal;3.00;3.00;0;0.00;0.00;0.00
04.986.320/0001-13;2023-12-31;7;137911;SER EDUCACIONAL S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;5.00;5.00;0;0.00;0.00;0.00
04.986.320/0001-13;2023-12-31;7;137911;SER EDUCACIONAL S.A.;2023-01-01;2023-12-31;Conselho de Administração;6.00;6.00;0;0.00;0.00;0.00
04.986.320/0001-13;2023-12-31;7;137911;SER EDUCACIONAL S.A.;2023-01-01;2023-12-31;Conselho Fiscal;3.00;3.00;0;0.00;0.00;0.00
04.986.320/0001-13;2023-12-31;7;137911;SER EDUCACIONAL S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;5.00;0;0.00;0.00;0.00
05.878.397/0001-32;2023-12-31;12;137501;ALLOS S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.00;1.00;83950;0.00;25.91;-2175144.50
05.878.397/0001-32;2023-12-31;12;137501;ALLOS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;7.00;0.00;0;0.00;0.00;0.00
05.878.397/0001-32;2023-12-31;12;137501;ALLOS S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;7.83;0.00;0;0.00;0.00;0.00
05.878.397/0001-32;2023-12-31;12;137501;ALLOS S.A.;2021-01-01;2021-12-31;Conselho de Administração;7.00;1.00;0;0.00;0.00;0.00
05.878.397/0001-32;2023-12-31;12;137501;ALLOS S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;8.00;0.00;0;0.00;0.00;0.00
05.878.397/0001-32;2023-12-31;12;137501;ALLOS S.A.;2020-01-01;2020-12-31;Conselho de Administração;7.75;3.00;0;0.00;0.00;0.00
05.917.486/0001-40;2023-12-31;6;135924;LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;2.00;0;0.00;0.00;0.00
05.917.486/0001-40;2023-12-31;6;135924;LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;3.00;3.00;0;0.00;0.00;0.00
05.917.486/0001-40;2023-12-31;6;135924;LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.;2023-01-01;2023-12-31;Conselho Fiscal;0.00;0.00;0;0.00;0.00;0.00
05.917.486/0001-40;2023-12-31;6;135924;LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.00;2.00;0;0.00;0.00;0.00
05.917.486/0001-40;2023-12-31;6;135924;LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.;2022-01-01;2022-12-31;Conselho Fiscal;0.00;0.00;0;0.00;0.00;0.00
05.917.486/0001-40;2023-12-31;6;135924;LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;0;0.00;0.00;0.00
06.047.087/0001-39;2023-12-31;8;137033;REDE D'OR SÃO LUIZ S.A.;2023-01-01;2023-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
06.047.087/0001-39;2023-12-31;8;137033;REDE D'OR SÃO LUIZ S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;8.00;2.00;580000;17.92;26.14;-4767600.00
06.047.087/0001-39;2023-12-31;8;137033;REDE D'OR SÃO LUIZ S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
06.047.087/0001-39;2023-12-31;8;137033;REDE D'OR SÃO LUIZ S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;7.66;3.00;812000;17.11;45.89;-23369360.00
06.047.087/0001-39;2023-12-31;8;137033;REDE D'OR SÃO LUIZ S.A.;2021-01-01;2021-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
06.047.087/0001-39;2023-12-31;8;137033;REDE D'OR SÃO LUIZ S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;6.92;4.00;913500;14.83;64.33;-45218250.00
06.047.087/0001-39;2023-12-31;8;137033;REDE D'OR SÃO LUIZ S.A.;2020-01-01;2020-12-31;Conselho de Administração;7.00;1.00;15519985;10.66;14.68;-62390339.70
06.047.087/0001-39;2023-12-31;8;137033;REDE D'OR SÃO LUIZ S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;5.25;5.25;6722942;13.61;14.68;-7193547.94
06.164.253/0001-87;2023-12-31;17;137756;GOL LINHAS AEREAS INTELIGENTES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;4.00;4.00;0;0.00;0.00;0.00
06.164.253/0001-87;2023-12-31;17;137756;GOL LINHAS AEREAS INTELIGENTES S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;4.00;4.00;151687;23.45;0.00;3557060.15
06.164.253/0001-87;2023-12-31;17;137756;GOL LINHAS AEREAS INTELIGENTES S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;4.00;4.00;306676;12.40;0.00;3802782.40
06.272.793/0001-84;2023-12-31;8;136841;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;2023-01-01;2023-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
06.272.793/0001-84;2023-12-31;8;136841;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;10.00;0.00;0;0.00;0.00;0.00
06.272.793/0001-84;2023-12-31;8;136841;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
06.272.793/0001-84;2023-12-31;8;136841;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;9.00;0.00;0;0.00;0.00;0.00
06.272.793/0001-84;2023-12-31;8;136841;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;2021-01-01;2021-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
06.272.793/0001-84;2023-12-31;8;136841;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;9.00;0.00;0;0.00;0.00;0.00
06.272.793/0001-84;2023-12-31;8;136841;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;2020-01-01;2020-12-31;Conselho de Administração;6.00;0.00;0;0.00;0.00;0.00
06.272.793/0001-84;2023-12-31;8;136841;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;9.00;0.00;0;0.00;0.00;0.00
06.626.253/0001-51;2023-12-31;16;137001;EMPREENDIMENTOS PAGUE MENOS S.A.;2020-01-01;2020-12-31;Conselho de Administração;10.00;2.00;0;0.00;0.00;0.00
06.626.253/0001-51;2023-12-31;16;137001;EMPREENDIMENTOS PAGUE MENOS S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;13.00;13.00;0;0.00;0.00;0.00
06.977.751/0001-49;2023-12-31;11;133016;BR PROPERTIES S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.00;0.00;0;0.00;0.00;0.00
06.977.751/0001-49;2023-12-31;11;133016;BR PROPERTIES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;2.00;317591;7.44;7.44;0.00
06.977.751/0001-49;2023-12-31;11;133016;BR PROPERTIES S.A.;2021-01-01;2021-12-31;Conselho de Administração;5.00;0.00;0;0.00;0.00;0.00
06.977.751/0001-49;2023-12-31;11;133016;BR PROPERTIES S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;2.00;2.00;406761;8.80;8.80;0.00
06.977.751/0001-49;2023-12-31;11;133016;BR PROPERTIES S.A.;2020-01-01;2020-12-31;Conselho de Administração;5.00;0.00;0;0.00;0.00;0.00
06.977.751/0001-49;2023-12-31;11;133016;BR PROPERTIES S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;2.00;2.00;0;0.00;0.00;0.00
07.206.816/0001-15;2023-12-31;3;135587;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;2020-01-01;2020-12-31;Conselho de Administração;6.00;0.00;0;0.00;0.00;0.00
07.206.816/0001-15;2023-12-31;3;135587;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;2020-01-01;2020-12-31;Conselho Fiscal;0.00;0.00;0;0.00;0.00;0.00
07.206.816/0001-15;2023-12-31;3;135587;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;2020-01-01;2020-12-31;Diretoria Estatutária;6.00;0.00;0;0.00;0.00;0.00
07.206.816/0001-15;2023-12-31;3;135587;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;2021-01-01;2021-12-31;Conselho de Administração;6.00;0.00;0;0.00;0.00;0.00
07.206.816/0001-15;2023-12-31;3;135587;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;2021-01-01;2021-12-31;Conselho Fiscal;0.00;0.00;0;0.00;0.00;0.00
07.206.816/0001-15;2023-12-31;3;135587;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;2021-01-01;2021-12-31;Diretoria Estatutária;6.00;0.00;0;0.00;0.00;0.00
07.206.816/0001-15;2023-12-31;3;135587;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;2022-01-01;2022-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
07.206.816/0001-15;2023-12-31;3;135587;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;2022-01-01;2022-12-31;Conselho Fiscal;0.00;0.00;0;0.00;0.00;0.00
07.206.816/0001-15;2023-12-31;3;135587;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;2022-01-01;2022-12-31;Diretoria Estatutária;8.00;3.00;36124;0.00;24.49;-884676.76
07.415.333/0001-20;2023-12-31;9;136208;SIMPAR S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.00;0.00;0;0.00;0.00;0.00
07.415.333/0001-20;2023-12-31;9;136208;SIMPAR S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;4.17;4.17;644649;10.85;12.08;-792918.27
07.415.333/0001-20;2023-12-31;9;136208;SIMPAR S.A.;2021-01-01;2021-12-31;Conselho de Administração;5.00;0.00;0;0.00;0.00;0.00
07.415.333/0001-20;2023-12-31;9;136208;SIMPAR S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;4.00;4.00;413412;11.65;9.33;959115.84
07.415.333/0001-20;2023-12-31;9;136208;SIMPAR S.A.;2020-01-01;2020-12-31;Conselho de Administração;2.08;0.00;0;0.00;0.00;0.00
07.415.333/0001-20;2023-12-31;9;136208;SIMPAR S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;2.83;2.83;837759;5.89;7.35;-1223128.14
07.437.016/0001-05;2023-12-31;1;127753;CINESYSTEM S.A.;2022-01-01;2022-12-31;Conselho de Administração;8.00;1.00;0;0.00;0.00;0.00
07.526.557/0001-00;2023-12-31;14;136881;AMBEV S.A.;2022-01-01;2022-12-31;Conselho de Administração;12.00;0.00;0;0.00;0.00;0.00
07.526.557/0001-00;2023-12-31;14;136881;AMBEV S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;14.00;2.00;11872;17.21;15.26;23150.40
07.526.557/0001-00;2023-12-31;14;136881;AMBEV S.A.;2021-01-01;2021-12-31;Conselho de Administração;12.00;3.00;209855;18.25;15.13;654747.60
07.526.557/0001-00;2023-12-31;14;136881;AMBEV S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;13.00;9.00;300915;18.25;15.13;938854.80
07.526.557/0001-00;2023-12-31;14;136881;AMBEV S.A.;2020-01-01;2020-12-31;Conselho de Administração;13.00;3.00;111140;18.43;12.60;647946.20
07.526.557/0001-00;2023-12-31;14;136881;AMBEV S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;11.77;9.00;78512;18.43;12.60;457724.96
07.689.002/0001-89;2023-12-31;9;138085;EMBRAER S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;4.00;4.00;459957;18.99;14.24;2184795.75
07.689.002/0001-89;2023-12-31;9;138085;EMBRAER S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;4.00;4.00;413975;20.87;16.12;1966381.25
07.689.002/0001-89;2023-12-31;9;138085;EMBRAER S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;5.00;5.00;723681;20.09;10.57;6889443.12
07.816.890/0001-53;2023-12-31;7;137757;MULTIPLAN - EMPREEND IMOBILIARIOS S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;6.00;6.00;225000;0.00;22.67;-5100750.00
07.816.890/0001-53;2023-12-31;7;137757;MULTIPLAN - EMPREEND IMOBILIARIOS S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;6.00;6.00;375850;0.00;21.95;-8249907.50
07.816.890/0001-53;2023-12-31;7;137757;MULTIPLAN - EMPREEND IMOBILIARIOS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;6.00;6.00;610978;0.00;24.44;-14932302.32
07.820.907/0001-46;2023-12-31;4;133675;FICA EMPREENDIMENTOS IMOBILIÁRIOS S.A.;2020-01-01;2020-12-31;Conselho de Administração;4.00;0.00;0;0.00;0.00;0.00
07.820.907/0001-46;2023-12-31;4;133675;FICA EMPREENDIMENTOS IMOBILIÁRIOS S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;2.00;0.00;0;0.00;0.00;0.00
07.820.907/0001-46;2023-12-31;4;133675;FICA EMPREENDIMENTOS IMOBILIÁRIOS S.A.;2021-01-01;2021-12-31;Conselho de Administração;4.00;0.00;0;0.00;0.00;0.00
07.820.907/0001-46;2023-12-31;4;133675;FICA EMPREENDIMENTOS IMOBILIÁRIOS S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;2.00;0.00;0;0.00;0.00;0.00
07.820.907/0001-46;2023-12-31;4;133675;FICA EMPREENDIMENTOS IMOBILIÁRIOS S.A.;2022-01-01;2022-12-31;Conselho de Administração;4.00;0.00;0;0.00;0.00;0.00
07.820.907/0001-46;2023-12-31;4;133675;FICA EMPREENDIMENTOS IMOBILIÁRIOS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;0.00;0;0.00;0.00;0.00
07.857.850/0001-50;2023-12-31;9;134240;GP INVESTMENTS, LTD.;2020-01-01;2020-12-31;Conselho de Administração;5.00;2.00;182618;0.66;0.66;0.00
07.857.850/0001-50;2023-12-31;9;134240;GP INVESTMENTS, LTD.;2021-01-01;2021-12-31;Conselho de Administração;5.00;2.00;118104;1.02;1.02;0.00
07.857.850/0001-50;2023-12-31;9;134240;GP INVESTMENTS, LTD.;2022-01-01;2022-12-31;Conselho de Administração;5.00;2.00;99058;1.21;1.21;0.00
07.859.510/0001-68;2023-12-31;3;131289;JHSF MALLS S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;0.00;0;0.00;0.00;0.00
07.859.510/0001-68;2023-12-31;3;131289;JHSF MALLS S.A.;2023-01-01;2023-12-31;Conselho Fiscal;0.00;0.00;0;0.00;0.00;0.00
07.859.510/0001-68;2023-12-31;3;131289;JHSF MALLS S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;0.00;0;0.00;0.00;0.00
07.859.510/0001-68;2023-12-31;3;131289;JHSF MALLS S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.00;0.00;0;0.00;0.00;0.00
07.859.510/0001-68;2023-12-31;3;131289;JHSF MALLS S.A.;2022-01-01;2022-12-31;Conselho Fiscal;0.00;0.00;0;0.00;0.00;0.00
07.859.510/0001-68;2023-12-31;3;131289;JHSF MALLS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;0.00;0;0.00;0.00;0.00
07.859.510/0001-68;2023-12-31;3;131289;JHSF MALLS S.A.;2021-01-01;2021-12-31;Conselho de Administração;5.00;0.00;0;0.00;0.00;0.00
07.859.510/0001-68;2023-12-31;3;131289;JHSF MALLS S.A.;2021-01-01;2021-12-31;Conselho Fiscal;0.00;0.00;0;0.00;0.00;0.00
07.859.510/0001-68;2023-12-31;3;131289;JHSF MALLS S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;5.00;0.00;0;0.00;0.00;0.00
07.859.510/0001-68;2023-12-31;3;131289;JHSF MALLS S.A.;2020-01-01;2020-12-31;Conselho de Administração;5.00;0.00;0;0.00;0.00;0.00
07.859.510/0001-68;2023-12-31;3;131289;JHSF MALLS S.A.;2020-01-01;2020-12-31;Conselho Fiscal;0.00;0.00;0;0.00;0.00;0.00
07.859.510/0001-68;2023-12-31;3;131289;JHSF MALLS S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;5.00;0.00;0;0.00;0.00;0.00
07.859.971/0001-30;2023-12-31;18;137638;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;2022-01-01;2022-12-31;Conselho de Administração;13.00;13.00;0;0.00;0.00;0.00
07.859.971/0001-30;2023-12-31;18;137638;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;2022-01-01;2022-12-31;Conselho Fiscal;10.00;5.00;0;0.00;0.00;0.00
07.859.971/0001-30;2023-12-31;18;137638;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;5.00;0;0.00;0.00;0.00
08.065.557/0001-12;2023-12-31;13;137939;TECNISA S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;0.00;0;0.00;0.00;0.00
08.065.557/0001-12;2023-12-31;13;137939;TECNISA S.A.;2023-01-01;2023-12-31;Conselho Fiscal;0.00;0.00;0;0.00;0.00;0.00
08.065.557/0001-12;2023-12-31;13;137939;TECNISA S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;6.00;0.00;0;0.00;0.00;0.00
08.065.557/0001-12;2023-12-31;13;137939;TECNISA S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.00;0.00;0;0.00;0.00;0.00
08.065.557/0001-12;2023-12-31;13;137939;TECNISA S.A.;2022-01-01;2022-12-31;Conselho Fiscal;1.00;0.00;0;0.00;0.00;0.00
08.065.557/0001-12;2023-12-31;13;137939;TECNISA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;6.00;0.00;0;0.00;0.00;0.00
08.065.557/0001-12;2023-12-31;13;137939;TECNISA S.A.;2021-01-01;2021-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
08.065.557/0001-12;2023-12-31;13;137939;TECNISA S.A.;2021-01-01;2021-12-31;Conselho Fiscal;3.00;0.00;0;0.00;0.00;0.00
08.065.557/0001-12;2023-12-31;13;137939;TECNISA S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;8.00;0.00;0;0.00;0.00;0.00
08.065.557/0001-12;2023-12-31;13;137939;TECNISA S.A.;2020-01-01;2020-12-31;Conselho de Administração;6.00;0.00;0;0.00;0.00;0.00
08.065.557/0001-12;2023-12-31;13;137939;TECNISA S.A.;2020-01-01;2020-12-31;Conselho Fiscal;2.00;0.00;0;0.00;0.00;0.00
08.065.557/0001-12;2023-12-31;13;137939;TECNISA S.A.;2020-01-01;2020-12-31;Diretoria Estatutária;9.00;0.00;0;0.00;0.00;0.00
08.078.847/0001-09;2023-12-31;8;137144;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;2023-01-01;2023-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
08.078.847/0001-09;2023-12-31;8;137144;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;5.00;0;0.00;0.00;0.00
08.078.847/0001-09;2023-12-31;8;137144;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;2022-01-01;2022-12-31;Conselho de Administração;6.67;0.00;0;0.00;0.00;0.00
08.078.847/0001-09;2023-12-31;8;137144;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;5.00;0;0.00;0.00;0.00
08.078.847/0001-09;2023-12-31;8;137144;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;2021-01-01;2021-12-31;Conselho de Administração;6.00;0.00;0;0.00;0.00;0.00
08.078.847/0001-09;2023-12-31;8;137144;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;5.08;5.08;0;0.00;0.00;0.00
08.078.847/0001-09;2023-12-31;8;137144;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;2020-01-01;2020-12-31;Conselho de Administração;6.00;0.00;0;0.00;0.00;0.00
